name,0:00:00,1:00:00,2:00:00,3:00:00,4:00:00,5:00:00,6:00:00,7:00:00,8:00:00,9:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
Sydney,1532942.106,1510584.243,1456271.669,1351428.636,1194125.49,1051386.491,1040347.731,1081800.078,1061393.271,1036317.575,1037541.174,1047389.902,1084411.786,1108129.555,1113989.414,1132018.115,1179964.117,1259906.939,1353685.663,1460483.183,1505613.221,1527554.719,1518731.232,1532292.273
Rio,1505147.057,1545308.346,1562713.76,1530833.203,1386702.231,1184319.423,1088193.351,1051993.128,1043951.174,1065449.643,1090959.048,1126522.722,1197476.077,1225666.223,1229801.44,1217994.075,1228077.49,1267549.693,1316153.87,1343981.202,1378819.898,1398444.938,1443877.033,1475903.327
Toronto,1658658.025,1659387.786,1629998.865,1570112.325,1467057.243,1320877.549,1214117.442,1188864.681,1148534.156,1109935.195,1111203.469,1118726.343,1154643.127,1167081.442,1165714.884,1178567.038,1219090.191,1287878.117,1370249.124,1459207.41,1532624.956,1593716.705,1613559.594,1632351.104
NYC,1618636.682,1582747.139,1507427.252,1394229.031,1278344.99,1158582.611,1140138.511,1151575.213,1137318.252,1127482.532,1141835.276,1155884.469,1181943.65,1206893.137,1217745.093,1234595.739,1260047.061,1307540.128,1372186.512,1450418.026,1517600.336,1572342.759,1597071.1,1605817.788
Seoul,956202.8039,977218.3886,980383.8807,962043.3651,908078.736,797472.4156,719982.2712,707155.5524,695967.8568,668314.9103,682241.4287,699685.5236,738861.4846,731486.9659,729845.6907,735718.9939,741283.3532,748916.4056,783781.6945,824952.8503,851301.9368,881377.8633,918790.0113,935119.6463
Tokyo,1059349.757,1097835.506,1100191.752,1064832.124,971860.0283,839749.9586,795391.933,803647.6388,758443.2493,712441.5718,718857.3947,725164.6181,780565.9329,768624.5627,769601.8462,769399.3234,774668.2811,786107.4423,825326.6024,878460.3399,944118.3414,982031.5531,1015585.39,1036696.435
Berlin,1631665.644,1646912.78,1607344.978,1518683.504,1318360.735,1139380.776,1055752.99,1016602.002,984737.7984,978660.0284,983052.3753,997406.6497,1026283.677,1043803.306,1060575.399,1083788.453,1109055.864,1163330.137,1253171.594,1384222.173,1511498.959,1482582.796,1540285.356,1597700.337
Paris,1692826.821,1717175.57,1691859.008,1601864.737,1435688.207,1242504.769,1104701.596,1089823.821,1043721.332,993538.6046,1002783.038,1022187.571,1131045.544,1181241.481,1120064.749,1105140.365,1117273.74,1166083.741,1244584.829,1380601.445,1557943.681,1624800.814,1634857.575,1665631.026
London,1629685.908,1619491.765,1560887.629,1461637.336,1304485.605,1134572.894,1087194.035,1114632.632,1096967.842,1056486.21,1056712.772,1060304.279,1080138.094,1103839.413,1113343.484,1138234.937,1180783.667,1252694.158,1339770.668,1447401.007,1521614.438,1569640.442,1600589.942,1628396.126
Jakarta,1448223.713,1457990.067,1447281.317,1400234.3,1338059.02,1353817.213,1341802.472,1322638.977,1306075.569,1308938.521,1324816.878,1342958.328,1387492.434,1374189.963,1396905.67,1418435.289,1445128.475,1442409.614,1436955.027,1502577.641,1538625.124,1537170.108,1502313.863,1450738.561
KualaLumpur,1395421.979,1482760,1536580.037,1538321.545,1505683.223,1420492.793,1360625.906,1198612.355,1115900.455,1083412.938,1075823.815,1085319.318,1140009.41,1174157.158,1153142.191,1159110.481,1157666.659,1205097.551,1259586.891,1141587.781,1226816.364,1332454.288,1370380.515,1384168.414
