name,1/1/16,1/2/16,1/3/16,1/4/16,1/5/16,1/6/16,1/7/16,1/8/16,1/9/16,1/10/16,1/11/16,1/12/16,1/13/16,1/14/16,1/15/16,1/16/16,1/17/16,1/18/16,1/19/16,1/20/16,1/21/16,1/22/16,1/23/16,1/24/16,1/25/16,1/26/16,1/27/16,1/28/16,1/29/16,1/30/16,1/31/16,2/1/16,2/2/16,2/3/16,2/4/16,2/5/16,2/6/16,2/7/16,2/8/16,2/9/16,2/10/16,2/11/16,2/12/16,2/13/16,2/14/16,2/15/16,2/16/16,2/17/16,2/18/16,2/19/16,2/20/16,2/21/16,2/22/16,2/23/16,2/24/16,2/25/16,2/26/16,2/27/16,2/28/16,2/29/16,3/1/16,3/2/16,3/3/16,3/4/16,3/5/16,3/6/16,3/7/16,3/8/16,3/9/16,3/10/16,3/11/16,3/12/16,3/13/16,3/14/16,3/15/16,3/16/16,3/17/16,3/18/16,3/19/16,3/20/16,3/21/16,3/22/16,3/23/16,3/24/16,3/25/16,3/26/16,3/27/16,3/28/16,3/29/16,3/30/16,3/31/16,4/1/16,4/2/16,4/3/16,4/4/16,4/5/16,4/6/16,4/7/16,4/8/16,4/9/16,4/10/16,4/11/16,4/12/16,4/13/16,4/14/16,4/15/16,4/16/16,4/17/16,4/18/16,4/19/16,4/20/16,4/21/16,4/22/16,4/23/16,4/24/16,4/25/16,4/26/16,4/27/16,4/28/16,4/29/16,4/30/16,5/1/16,5/2/16,5/3/16,5/4/16,5/5/16,5/6/16,5/7/16,5/8/16,5/9/16,5/10/16,5/11/16,5/12/16,5/13/16,5/14/16,5/15/16,5/16/16,5/17/16,5/18/16,5/19/16,5/20/16,5/21/16,5/22/16,5/23/16,5/24/16,5/25/16,5/26/16,5/27/16,5/28/16,5/29/16,5/30/16,5/31/16,6/1/16,6/2/16,6/3/16,6/4/16,6/5/16,6/6/16,6/7/16,6/8/16,6/9/16,6/10/16,6/11/16,6/12/16,6/13/16,6/14/16,6/15/16,6/16/16,6/17/16,6/18/16,6/19/16,6/20/16,6/21/16,6/22/16,6/23/16,6/24/16,6/25/16,6/26/16,6/27/16,6/28/16,6/29/16,6/30/16,7/1/16,7/2/16,7/3/16,7/4/16,7/5/16,7/6/16,7/7/16,7/8/16,7/9/16,7/10/16,7/11/16,7/12/16,7/13/16,7/14/16,7/15/16,7/16/16,7/17/16,7/18/16,7/19/16,7/20/16,7/21/16,7/22/16,7/23/16,7/24/16,7/25/16,7/26/16,7/27/16,7/28/16,7/29/16,7/30/16,7/31/16,8/1/16,8/2/16,8/3/16,8/4/16,8/5/16,8/6/16,8/7/16,8/8/16,8/9/16,8/10/16,8/11/16,8/12/16,8/13/16,8/14/16,8/15/16,8/16/16,8/17/16,8/18/16,8/19/16,8/20/16,8/21/16,8/22/16,8/23/16,8/24/16,8/25/16,8/26/16,8/27/16,8/28/16,8/29/16,8/30/16,8/31/16,9/1/16,9/2/16,9/3/16,9/4/16,9/5/16,9/6/16,9/7/16,9/8/16,9/9/16,9/10/16,9/11/16,9/12/16,9/13/16,9/14/16,9/15/16,9/16/16,9/17/16,9/18/16,9/19/16,9/20/16,9/21/16,9/22/16,9/23/16,9/24/16,9/25/16,9/26/16,9/27/16
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.742176,122.140393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.301094,144.696395,0,0,0,0,0,114.183454,0,0,0,0,0,170.414454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.545846,0,0,0,0,0,0,0,0,0,0,151.407692,147.58304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.042399,150.092727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.024358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.169776,261.088404,309.007033,356.925661,1958.718907,1351.696914,863.578624,996.461098,687.300043,359.968818,436.629129,359.061226,396.67529,1081.216682,551.992492,362.754578,290.877512,245.750017,326.274009,229.171459,284.747128,269.091869,169.554833,182.44201,290.817916,248.001259,162.776964,162.776964,162.776964,203.325444,162.412527,160.093342,146.936304,222.760368,150.751783,142.218031,109.151685,163.079817,147.380557,128.896878,133.843074,138.78927,143.735466,156.319183,161.573036,178.284521,174.804937,183.267476,191.730014,200.192553,131.956471,145.573502,165.919,230.12408,190.029873,211.043701,201.435694,129.407564,253.989826,178.158759,187.390203,148.045852,179.042714,205.597352,208.134504,133.667506,206.242488,123.815507,146.256277,138.766353,145.700598,145.528239,126.62119,163.564649,131.334442,137.395024,143.455607,149.51619,166.833244,152.981116,267.007994,202.324251,253.523182,234.895301,124.843866,156.302318
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.975865,36.692073,41.919691,47.147309,52.374927,37.461845,37.461845,37.461845,43.255923,49.050001,0,0,0,0,0,36.71385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.994704,0,0,0,0,0,0,0,0,0,0,55.307588,89.685822,83.090766,51.998393,53.002255,54.006117,0,0,0,0,0,74.777441,54.44476,46.088341,36.849919,38.881421,0,0,0,0,0,0,0,0,0,0,0,35.165773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.319531,38.236919
Canada,0,0,0,0,92.649112,96.682354,100.715597,104.748839,108.782082,98.30545,98.30545,116.411944,134.518438,111.896042,114.844172,89.499585,89.499585,89.499585,89.115406,183.832952,116.208451,94.44024,165.096413,101.884266,101.884266,91.746662,91.746662,91.966232,86.904916,86.904916,86.904916,86.904916,86.89167,87.925279,88.958889,94.282226,99.605562,104.928899,165.288198,167.797275,266.662524,201.895685,116.522518,131.857916,133.96917,143.311147,139.15143,167.631334,113.764246,127.25544,171.651807,130.757708,130.757708,115.441304,130.545251,159.430606,188.02902,122.38114,120.652058,230.478516,140.914009,197.995304,120.601752,152.15309,183.704428,85.829954,85.829954,106.944747,108.286207,162.873165,113.213187,133.514475,144.804896,119.096882,98.848915,128.580841,158.312767,117.938976,117.938976,128.34908,289.55563,646.625921,394.297699,349.23727,252.113924,353.276017,461.181746,223.597995,220.014474,254.988819,157.695212,295.848439,323.669616,207.246365,455.627794,753.314437,1290.35754,564.138494,560.173533,443.322824,287.350414,249.457456,251.183113,199.858059,239.156622,112.539005,147.506144,182.473282,216.411706,172.649505,181.54632,181.397734,163.399355,171.930396,221.253884,150.613055,161.599408,130.567318,100.190912,206.077816,93.469239,93.469239,93.469239,98.133973,129.339231,105.949371,105.949371,109.550554,113.151737,116.75292,147.702875,178.652831,125.193819,126.894846,128.595873,130.296899,87.811641,120.283325,146.547012,105.857916,101.198833,129.290732,157.382631,129.415719,138.829275,152.074649,131.246052,146.655111,114.247142,122.468142,130.689142,154.503213,89.828252,122.386715,118.234213,122.22911,126.224007,130.218903,108.423146,150.718009,99.902848,94.080586,106.911123,119.74166,85.523007,109.500303,174.788036,112.611947,95.560831,116.714371,146.37583,112.226521,93.338882,93.338882,93.338882,104.658111,115.97734,120.890564,125.803789,103.55982,92.838368,215.62082,119.438851,119.438851,1422.566961,5386.993056,2925.657044,2265.349834,3294.511757,6180.578565,3853.22932,2370.108243,2434.979729,2019.196137,1802.862104,1544.571524,1223.886502,1199.574304,1292.674257,1318.000737,1014.766643,577.371772,626.340833,419.131411,347.289341,279.221241,318.752859,424.515177,367.276556,330.417801,287.68423,303.577361,404.362116,305.335093,279.084384,224.756733,313.942569,263.650064,211.677333,211.994629,155.618341,178.59319,94.918923,174.153852,130.690046,178.772992,226.855939,561.268741,342.328638,334.517939,190.450941,197.224653,156.492969,208.599855,225.522809,132.732902,368.799505,302.451287,195.325288,160.039572,142.554502,206.769224,198.755701,260.32498,170.732147,202.234006,191.114122,181.308137,134.46444,213.242867,267.324005,167.336901,160.279235,144.750311,197.956926,148.047786,227.225673,177.364526,203.02143,161.768722,106.125346,208.959678,161.941321,158.418475,332.214911,569.841521,485.011218,260.663082,353.005382,296.524445,456.408034
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.731792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.095291,479.020522,390.779188,646.373276,359.357491,260.219199,171.051073,109.383252,96.458629,100.186113,128.479216,109.324906,82.470512,91.796683,73.948613,102.179783,105.058168,152.11289,72.243029,72.243029,0,0,0,0,0,102.20842,60.809309,60.809309,60.809309,64.486069,72.504239,80.52241,88.540581,0,0,0,0,0,0,0,0,60.774179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.420849,59.284406,59.284406,0,0,0,0,0,0,0,0,0,0,0,0,62.686022,74.020516,62.470185,81.988696,55.020327,55.020327,69.8847
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.9195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.094748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.157874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.918826,159.816765,281.534038,301.34987,231.250121,216.661123,234.096414,107.157409,113.091107,88.779303,81.433384,81.433384,78.818758,139.939139,61.981869,82.948486,133.06881,155.947907,86.485639,97.93773,109.38982,63.202342,63.202342,70.774642,78.346942,79.282255,80.217567,81.15288,82.088192,63.415822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.806136,0,0,0,0,0,0,0,0,0,0,0,0,57.545644,0,0,0,0,0,56.097266,0,0,0,0,0,0,0,56.694572,88.221871,70.21943,70.21943,56.13493,56.13493,79.299699
United Kingdom,0,0,49.228689,52.012703,54.796717,55.818251,56.839785,57.861319,47.701171,47.701171,42.195733,43.23934,44.282948,0,0,0,0,0,44.385626,67.375278,45.17032,48.257486,51.344653,0,0,0,0,0,0,0,0,0,41.614837,42.75646,43.898083,44.575481,48.290911,67.225983,86.161055,79.398405,49.228824,63.184538,72.595089,75.701319,78.807549,54.753419,60.721843,59.94885,55.881521,74.597072,61.639445,58.674075,62.249723,63.636978,65.024233,57.915452,78.563018,55.572564,71.058202,61.854526,58.174099,72.426746,44.496858,44.496858,50.193963,55.891068,61.588173,67.285278,52.223116,43.059921,79.242131,56.871259,85.374116,53.479758,53.479758,64.360121,54.568445,47.532192,47.532192,47.532192,42.504102,43.093977,43.683852,44.38804,45.092228,45.796416,46.500604,47.204792,54.165828,51.270325,51.270325,51.270325,51.270325,50.41737,64.086982,44.331888,65.105702,43.44647,56.611834,59.822091,61.565946,44.12058,44.12058,44.12058,44.12058,55.225197,50.767179,50.767179,44.317651,44.317651,44.317651,44.317651,45.254054,56.596645,67.939236,52.819873,43.993725,43.993725,44.404708,48.511944,52.619181,0,0,0,0,0,0,0,54.736341,53.799398,53.799398,43.921867,81.207308,59.210348,0,0,0,0,0,45.263664,49.238816,53.213968,51.067562,51.067562,47.632644,47.632644,47.632644,76.248206,59.479415,59.479415,57.226038,57.226038,58.537716,59.849395,63.173537,58.899186,58.899186,68.239588,77.579991,86.920393,96.260796,44.352283,44.352283,44.352283,44.352283,55.83024,45.618538,45.803114,0,0,0,0,0,46.542539,46.865013,49.418827,51.972642,54.526456,57.080271,45.963792,0,0,0,0,0,73.731106,76.25591,96.547519,818.221103,2168.06989,1692.704935,1712.276749,1215.985972,800.031052,511.159049,482.507407,365.29863,323.229408,486.279971,384.849087,237.138376,300.172976,291.509845,157.916199,221.709847,142.935547,117.746453,93.626295,115.125232,69.463292,154.117595,151.174955,80.988701,109.286398,105.145546,99.916507,99.912269,1992.355487,779.16225,312.034662,218.886932,79.474677,109.061868,84.898732,80.509054,84.664365,129.725457,149.091278,145.769481,89.515534,97.32039,87.930859,79.454104,115.877371,141.465201,88.985461,68.597731,87.386831,71.416145,95.541689,95.68683,120.49914,111.592202,121.492083,98.836903,117.787926,77.943726,77.943726,71.279233,1465.053208,462.180322,221.792496,143.861379,125.196348,355.329813,87.18219,94.50818,144.743961,159.423963,113.447274,82.038533,122.389857,119.443784,158.194899,217.948622,279.971919,232.519634,190.183941,206.512839,135.890699,162.472377
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.903081,133.137933,135.77892,138.419906,89.417187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.195093,110.039667,109.931269,81.650128,92.527232,57.957191,60.391302,37.393377,39.436932,41.480488,43.524043,45.567599,63.764952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.227724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.178458,118.273462,73.01327,76.656497,54.096116,57.722759,46.289357,58.133666,58.523521,58.913376,59.303232,59.693087,46.521836,46.118914,46.118914,45.300063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501.890496,786.944629,630.879026,630.879026,416.915025,424.137605,431.360186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467.27541,0,0,0
