name,6/19/16 0:00,6/19/16 1:00,6/19/16 2:00,6/19/16 3:00,6/19/16 4:00,6/19/16 5:00,6/19/16 6:00,6/19/16 7:00,6/19/16 8:00,6/19/16 9:00,6/19/16 10:00,6/19/16 11:00,6/19/16 12:00,6/19/16 13:00,6/19/16 14:00,6/19/16 15:00,6/19/16 16:00,6/19/16 17:00,6/19/16 18:00,6/19/16 19:00,6/19/16 20:00,6/19/16 21:00,6/19/16 22:00,6/19/16 23:00,6/20/16 0:00,6/20/16 1:00,6/20/16 2:00,6/20/16 3:00,6/20/16 4:00,6/20/16 5:00,6/20/16 6:00,6/20/16 7:00,6/20/16 8:00,6/20/16 9:00,6/20/16 10:00,6/20/16 11:00,6/20/16 12:00,6/20/16 13:00,6/20/16 14:00,6/20/16 15:00,6/20/16 16:00,6/20/16 17:00,6/20/16 18:00,6/20/16 19:00,6/20/16 20:00,6/20/16 21:00,6/20/16 22:00,6/20/16 23:00,6/21/16 0:00,6/21/16 1:00,6/21/16 2:00,6/21/16 3:00,6/21/16 4:00,6/21/16 5:00,6/21/16 6:00,6/21/16 7:00,6/21/16 8:00,6/21/16 9:00,6/21/16 10:00,6/21/16 11:00,6/21/16 12:00,6/21/16 13:00,6/21/16 14:00,6/21/16 15:00,6/21/16 16:00,6/21/16 17:00,6/21/16 18:00,6/21/16 19:00,6/21/16 20:00,6/21/16 21:00,6/21/16 22:00,6/21/16 23:00,6/22/16 0:00,6/22/16 1:00,6/22/16 2:00,6/22/16 3:00,6/22/16 4:00,6/22/16 5:00,6/22/16 6:00,6/22/16 7:00,6/22/16 8:00,6/22/16 9:00,6/22/16 10:00,6/22/16 11:00,6/22/16 12:00,6/22/16 13:00,6/22/16 14:00,6/22/16 15:00,6/22/16 16:00,6/22/16 17:00,6/22/16 18:00,6/22/16 19:00,6/22/16 20:00,6/22/16 21:00,6/22/16 22:00,6/22/16 23:00,6/23/16 0:00,6/23/16 1:00,6/23/16 2:00,6/23/16 3:00,6/23/16 4:00,6/23/16 5:00,6/23/16 6:00,6/23/16 7:00,6/23/16 8:00,6/23/16 9:00,6/23/16 10:00,6/23/16 11:00,6/23/16 12:00,6/23/16 13:00,6/23/16 14:00,6/23/16 15:00,6/23/16 16:00,6/23/16 17:00,6/23/16 18:00,6/23/16 19:00,6/23/16 20:00,6/23/16 21:00,6/23/16 22:00,6/23/16 23:00,6/24/16 0:00,6/24/16 1:00,6/24/16 2:00,6/24/16 3:00,6/24/16 4:00,6/24/16 5:00,6/24/16 6:00,6/24/16 7:00,6/24/16 8:00,6/24/16 9:00,6/24/16 10:00,6/24/16 11:00,6/24/16 12:00,6/24/16 13:00,6/24/16 14:00,6/24/16 15:00,6/24/16 16:00,6/24/16 17:00,6/24/16 18:00,6/24/16 19:00,6/24/16 20:00,6/24/16 21:00,6/24/16 22:00,6/24/16 23:00,6/25/16 0:00,6/25/16 1:00,6/25/16 2:00,6/25/16 3:00,6/25/16 4:00,6/25/16 5:00,6/25/16 6:00,6/25/16 7:00,6/25/16 8:00,6/25/16 9:00,6/25/16 10:00,6/25/16 11:00,6/25/16 12:00,6/25/16 13:00,6/25/16 14:00,6/25/16 15:00,6/25/16 16:00,6/25/16 17:00,6/25/16 18:00,6/25/16 19:00,6/25/16 20:00,6/25/16 21:00,6/25/16 22:00,6/25/16 23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,5649.747741,4773.632942,4716.372744,3997.776121,4150.942028,3801.906586,3769.5014,4307.62282,4575.464636,4701.658052,4862.043514,5097.06511,6195.939359,6245.178948,6527.043899,6210.883379,5838.724949,8547.300762,8080.808081,9975.615163,10853.0334,11485.61636,9115.531504,6935.529494,6569.315814,5689.308982,5305.829433,6049.386315,5215.064412,5733.060901,5634.802056,6277.357265,6712.885075,6774.473194,6452.732551,7508.684286,8238.907458,10990.2419,9472.448866,9842.471004,10562.60184,12177.74918,13269.19887,12563.72642,13688.77922,12822.6752,10967.15382,7170.303405,6646.008726,6721.953616,6818.880689,6565.932126,6090.266124,6027.628586,6245.255861,7785.752157,7431.608415,8583.225972,7899.463125,8900.420755,10764.52969,11310.58502,10848.66678,10110.26665,11069.17037,11488.8153,13546.68396,16693.03683,18602.75898,17168.34803,15222.33351,11110.39351,9399.452137,9127.437833,8952.50196,9047.654187,8309.162628,8558.375757,9798.535808,10431.2733,11879.5839,11584.21666,11284.2919,14159.72505,17449.02758,19474.35263,19472.88527,20708.99619,21850.31335,25872.64907,25923.5256,26605.95946,33127.48681,33870.4195,28737.48407,21682.19242,19069.32139,17884.68414,19953.34427,21658.36604,21391.43129,25152.88059,30109.97817,36425.30702,41047.39661,43803.39615,49604.40913,60444.90901,78222.59103,88551.22087,98729.71773,101669.8994,122238.0812,145081.6976,188724.5376,214887.0339,237089.0493,205493.5585,161890.8369,166819.8753,208738.781,273404.1206,336770.8836,466485.1867,479950.8104,360243.3996,239617.9991,196397.4321,153330.2934,122990.8642,105507.2679,105819.3225,108177.951,114198.0402,112986.3728,108646.9295,104745.8852,103046.3657,105073.1951,109944.5603,127699.0456,122389.853,110226.2901,88940.79362,73785.20437,64820.76036,56987.25476,52272.55474,47651.93001,44358.24238,42015.46309,44184.01696,45558.04046,41712.02054,39906.3379,41137.49868,43770.26401,45903.7108,45378.18037,43625.45908,44412.69044,45286.08614,44143.3244,46535.17607,48184.50043,51118.76449,47618.25477,42534.8647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Brazil,201.857289,154.56539,243.792892,208.285872,213.579811,137.015628,368.053,289.9211,262.761448,451.520029,327.188551,356.423068,375.918651,302.617514,340.308696,270.066654,219.350257,206.069432,273.20635,246.762963,326.281876,253.475495,221.485892,225.726448,255.930743,285.769027,389.587284,357.028098,279.77257,432.506205,354.893788,447.865919,456.925025,515.87239,586.456572,580.43713,568.667124,599.134032,537.665966,458.463698,477.467457,432.756521,417.561127,427.423396,449.707364,364.134624,223.013293,346.956326,388.644741,372.36186,332.248944,502.686998,432.224085,536.915258,715.98191,770.87258,707.07226,718.142405,680.097934,591.695626,587.160107,519.082496,448.712196,427.433775,421.072528,446.349564,449.021369,450.875826,443.163433,371.172159,318.966962,340.055254,403.474865,333.024977,352.868923,457.341032,508.542328,666.967543,648.236416,647.890192,1172.072224,802.274778,752.20389,650.292258,720.313885,714.597465,759.541468,704.159541,806.380195,647.329138,776.195802,811.877867,789.302405,881.806259,776.451212,889.317766,644.818868,727.146442,801.147913,1097.101302,1112.672615,1490.279817,2146.327744,2310.361527,1678.198145,2052.742319,1833.420817,1908.918521,1729.378271,1734.416117,1775.835841,1773.800286,1920.88174,1768.484129,1937.959113,2343.80848,2991.558244,3438.802075,2926.550296,3592.873609,4600.613582,6279.114513,9600.074041,16703.67291,22372.06996,22937.98415,17549.98081,18225.75818,18437.24514,18296.7082,16528.53075,12604.87733,10696.64849,9495.810511,8186.561003,7757.717739,7348.418999,6915.556347,6780.920802,6694.330054,7507.385895,6617.106019,5350.256309,4811.744315,4711.765079,4432.598984,5100.242193,5785.294845,5259.953953,5059.786907,5399.296836,6176.520702,7201.731581,5974.913897,6139.861593,5301.170835,4985.908604,4546.99123,4403.399495,3721.106442,3478.202624,3641.969035,3230.952233,2965.779078,3326.635174,3334.406746,2902.554441,2777.0263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Canada,2982.093397,3296.420548,3059.388477,3379.071021,3313.065859,3879.419995,3916.274655,4013.049329,4567.507765,6559.699067,6600.025899,6425.877503,5959.885021,5581.557182,5681.51789,5764.165619,5232.496996,5144.782256,4511.101178,4494.552473,4454.916948,4635.101081,4581.305601,3717.511443,4131.512568,4133.699161,4253.524097,5008.478956,5250.815118,6252.323499,6946.330457,8388.060312,9233.558669,10479.24434,10982.83613,11220.48858,10259.71084,10068.02744,9651.986019,8152.069174,7792.404904,7328.578298,6863.575546,6393.463624,5942.779021,5738.481181,6014.631187,5715.687622,5662.086176,5864.367536,6867.600052,7357.630303,7358.994486,7810.650479,7445.510547,8793.290043,8496.946764,12391.68962,12979.57211,12933.88279,11954.80658,10053.93018,9826.193825,8587.803097,7924.553222,7812.533249,7862.187177,7812.764149,7289.109887,7245.538832,7079.097112,7154.420774,7464.555017,7438.593617,8225.40044,9088.748005,8718.343467,10547.24017,11003.04282,11914.51648,12539.77897,15122.82057,16112.31969,16612.58294,15331.09852,14824.55131,13852.53632,13195.4283,13343.70899,12665.84607,12891.20381,14423.29498,14098.98035,13761.98489,14505.5035,14622.62589,15821.74711,17050.20609,19400.37851,21004.22514,24211.37459,28771.15653,34655.87045,35647.97624,43603.69452,53885.96332,62115.77869,61948.91753,59237.00502,57473.06639,56939.82499,57010.40561,60487.14008,59455.88662,65264.46999,74867.5085,84690.10914,104098.4238,117407.829,156753.1298,205180.1265,281469.8216,350047.2346,457530.2746,478365.6743,380450.0194,282458.7337,255237.7062,282581.1894,362613.1844,414200.5106,335843.1074,252264.0867,191574.034,147965.0521,122223.5205,108134.1474,91692.85378,82569.16274,76187.65265,70045.58264,67568.71267,64950.38091,57623.21355,54407.04783,54027.40593,53747.32908,54837.2867,52336.82803,53263.10397,52016.42727,52073.47093,49123.31027,51505.52479,51887.85892,49458.84608,47215.46529,42725.71484,38563.89725,35753.72457,33959.00741,31088.51615,27888.24133,27331.55781,25512.13953,23887.13124,24236.74219,23437.44668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Germany,4340.54538,4344.661636,4526.885884,4993.531107,7425.315144,8901.062401,9495.016421,8396.490651,7555.49719,7527.195124,7337.715042,7328.950646,6205.409321,5779.705644,5852.369337,6556.675634,7787.50639,9130.182156,8085.041372,9375.32965,6614.596698,8037.701347,7108.500209,5509.265389,5883.01605,5430.775056,6122.737335,8105.099829,10244.83333,11092.87421,9601.343705,9046.643942,8731.532124,8609.826107,9172.692635,8570.462699,7870.246463,7233.848088,7714.791323,7732.694738,8098.4403,8719.355602,6946.255534,7186.75494,7437.265746,8381.593429,8608.041963,8295.646796,6492.781433,7185.238825,5995.707746,7697.534985,9163.144506,9511.82496,9691.423717,8985.668666,9313.064277,9403.748148,9707.020712,9311.535101,7969.113176,7806.789863,7952.565489,7304.803147,6378.591666,6518.093017,9594.345147,10730.74052,8537.453861,10000.55973,11452.89167,9342.65549,8559.425184,7193.742518,7834.645455,10592.10449,12791.06318,13957.34809,14774.02853,13870.94796,12712.85414,11780.21643,13439.62627,12900.63484,13479.64471,13876.08734,14531.04982,14302.90727,13659.6327,11059.2364,13347.81027,17406.40591,16095.37509,27344.79391,31733.96967,20588.769,17944.03655,16856.11554,19313.59055,26358.55386,30969.35591,33512.21115,33525.80473,33874.09148,35853.06375,42316.57297,51277.09377,52734.70008,52641.50071,57947.33491,64150.09705,71247.88528,83184.08153,89687.05983,95205.81239,114749.7889,162337.564,220024.2566,211661.8104,249728.9459,352912.8776,460291.1387,615993.3361,792724.201,870400.0365,712368.6336,504220.4557,378856.9776,282401.4749,229223.6642,222341.2666,186225.4201,153464.5964,137440.5593,126271.4809,114985.0819,105969.6269,96492.95987,93171.58469,79319.51861,90107.66677,83328.60772,87649.98211,76119.91158,73515.17551,68313.41576,64957.28353,70772.50139,70193.77334,69713.9945,65891.68533,59577.66473,52650.76732,47241.06874,43581.44703,43900.22871,40187.07155,38392.26821,34484.4747,33449.46788,41109.7989,39985.94743,43511.56088,38425.08262,35167.98099,37726.07509,41436.68534,38302.63937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
France,3079.415447,3288.595412,2708.8403,3885.463299,6328.161476,7644.370903,6696.23437,6660.63367,4902.917524,4489.294199,4674.316495,5646.9512,3716.673318,3643.44097,3221.086277,3375.732944,3578.308271,5071.542969,9302.748481,3510.983247,3965.737347,5290.602081,5273.373275,4212.360838,3649.076548,3431.106246,3039.704328,5052.511573,7466.894822,9189.45612,7989.236366,6980.183909,5896.316208,5454.111191,5993.977423,6308.102509,5054.75931,4797.727663,4751.914737,4797.434336,4486.4767,5499.936853,6792.210235,4186.825295,5650.637489,6216.939331,5521.863624,5014.073593,4829.427728,4577.598857,5521.672565,5964.59316,6856.435096,8745.666042,7734.968974,7792.563211,6595.509661,6421.021797,6737.438529,6873.806396,5890.808843,5469.811632,5598.629611,5456.832645,5067.941864,5246.89303,7486.672329,5105.778238,5674.13033,6968.281562,6702.782914,5725.879946,4647.952788,5144.291577,5875.549387,7439.092431,9147.302737,11841.86555,9799.761209,8207.495494,7984.557619,7738.143334,8256.112193,8574.905537,7369.114228,7591.790973,7936.852887,8796.684893,8363.242047,9591.570298,13141.4989,8865.848873,11035.16547,14348.97295,13965.31267,12226.01906,10990.02011,11828.99338,10920.56112,13680.10944,20389.53301,23385.97939,22085.93343,20303.14845,21219.52575,24887.52826,30396.94659,34269.16205,29946.71146,33281.74732,39688.00562,43470.86405,49665.8756,60419.51116,73726.65348,84282.98868,134277.0937,177986.4387,178685.2619,193251.4761,232694.9041,308325.2735,386871.3898,549350.1103,604829.406,517251.1406,374687.5301,266227.8437,201139.1852,162811.3265,159999.5489,144976.6143,91932.94858,79440.95393,74619.99754,72283.23591,71540.10984,74143.78121,85679.76777,55931.16998,60389.23452,62432.01907,58484.39317,54525.62705,50265.14806,49106.7269,52585.01843,53525.31342,56848.63502,61762.32821,54905.05247,45767.26447,39346.39083,34251.88669,38496.969,38047.81882,30700.15157,26565.21844,25409.46719,26029.66537,27468.11435,30306.18427,37917.083,24907.38252,27055.60057,27480.30471,29926.62689,28679.0956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
United Kingdom,26968.84878,25874.0072,24531.76737,28882.47056,34795.70243,39409.35961,39751.50467,39440.43044,35966.00061,31643.1457,29812.10156,27121.99356,25254.82422,23455.22674,23465.36743,24439.56621,27267.19973,29788.62507,36004.90166,30277.91194,31723.08794,44270.11993,42484.37599,40474.28651,35459.28333,34595.11006,30753.89189,33009.39498,46455.03094,53924.32817,53622.93469,50306.64284,45446.99461,41373.26914,40972.39209,44936.97072,45463.15061,38189.59176,36738.80193,36599.77326,37479.14023,42983.3521,38316.7076,33259.44985,33687.23433,54535.39395,48142.47172,45206.99633,41754.08712,40737.23506,40562.88053,43971.60388,55379.77107,65578.84416,60168.15468,54117.39591,48916.73133,44608.15479,44478.02911,47321.74442,49100.86629,42025.33603,41226.49503,40455.98771,40335.52658,43070.25478,47654.27151,55013.13432,75707.92974,94739.65984,79742.0664,73941.33341,69060.60388,64305.18016,62281.5917,70159.29611,88388.19901,100897.3859,99701.56462,90700.67849,74826.36181,67613.07898,67797.94205,74207.92956,79112.9658,66687.81156,67407.14964,69502.9571,72907.59,79854.60676,100229.5153,86033.39473,95076.32931,148746.0337,131926.4481,123833.2285,112892.8194,105145.0537,102782.0218,114419.0231,140345.0277,159924.452,166825.2278,160586.0244,150525.7925,146355.4895,150974.4569,168964.7022,175263.6971,166748.478,176951.8228,182881.8242,197201.7403,207887.4271,210339.3343,217261.1024,260586.0074,421577.6976,539813.7828,899747.3183,1153974.612,1426796.818,1656223.61,1919955.115,1734284.992,1531087.909,1168541.686,718043.6181,537890.4617,426824.1376,361815.6448,328023.2144,299563.1939,263459.4265,243212.08,232288.9283,228168.8709,230301.4697,201783.9097,186922.9311,183134.2591,207647.3695,204267.7747,186969.9603,178065.1277,174631.86,163240.6496,154316.1836,162826.6119,168762.9888,161846.9062,149769.4778,137942.7386,126818.3663,126706.9771,124231.0286,120476.0509,120263.1256,108650.1582,106145.1632,109357.0486,109977.7352,113271.262,105007.0351,106531.3615,111763.8497,120549.4536,121974.5059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Indonesia,431.155281,422.798143,482.455294,275.280078,261.843092,336.218273,367.025032,302.427014,373.253922,400.923868,275.915104,292.706651,298.599433,296.748563,431.723794,299.337466,263.629021,213.019314,300.061513,253.477022,356.665759,324.819845,419.098648,724.677691,668.808505,1127.110297,797.283541,751.067566,574.30337,741.000887,539.114986,584.529833,516.801132,702.597673,715.137276,504.118948,505.015938,562.785101,418.657819,352.8736,328.633098,274.341764,386.538356,285.444065,350.167364,537.291537,711.142015,668.854937,1003.227047,1106.674167,824.848923,769.343309,629.782599,666.171437,508.082642,757.787419,1183.817219,881.365725,918.970462,761.469636,720.332094,664.963212,581.086313,503.931961,562.062477,460.568027,419.738922,323.417111,585.788765,619.527266,717.445893,1346.237015,952.58077,960.057401,1260.873291,1050.025213,885.266975,641.955977,838.664615,885.980288,1453.135994,1295.255022,1264.885301,1129.208396,1271.743277,961.218801,1079.069745,963.784348,984.668182,869.099452,700.850323,906.260662,714.4856,1230.762152,1542.402554,2357.410126,2535.381184,2337.747303,2432.593396,2185.263321,2278.147799,2406.585641,3162.315483,3151.579034,4035.386084,5265.297908,4380.614298,4856.682061,4419.344891,3716.920344,4091.235163,3959.058061,3690.587918,3400.721871,4084.729797,5713.376959,6663.796108,10593.23354,12045.17673,20561.90945,24609.35815,22847.70296,23451.77508,28033.9744,34948.75618,35002.02864,28694.28992,25814.90705,28950.19286,26747.48221,26079.32858,22637.71942,17012.62124,14359.67829,13318.85309,12419.263,14223.31537,18335.68406,14481.49996,13729.70053,14450.93915,17560.61874,15583.11637,18726.86152,14724.53757,14561.53763,12694.14134,11923.41964,10678.31176,10759.13875,9286.478872,10231.78722,10275.5094,12056.64104,9972.570645,8943.066276,7279.200665,6506.843998,6189.166246,6293.6177,6028.48853,6411.923701,6165.584478,5548.659552,6301.304805,6940.538868,6618.755089,6875.127317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
India,1089.087345,1111.4919,1281.970585,1447.606543,1318.942286,1415.896945,1321.666355,1132.132543,1035.733396,1032.56047,1125.264228,1339.126247,1204.57581,1198.920363,1255.596424,1397.597331,1459.42231,1436.904271,1681.370107,1372.789169,1329.299597,1451.295936,1201.184424,1491.4142,1448.805897,2212.097939,2745.820444,3970.134017,4339.748399,3278.963523,3074.298442,3119.183624,2976.296686,3044.033986,2520.691264,2637.869151,2952.218911,2643.46942,2537.789731,2643.954538,3431.112447,3371.364848,3715.887126,3776.503551,3050.824975,3091.037782,2817.229036,2700.136936,3027.590564,3642.63633,3700.743534,4359.541267,3735.199425,4544.067934,6631.207241,6926.635963,7181.963395,6970.605752,6246.77691,4039.253748,3570.479783,3516.533854,3691.58482,3376.102533,3223.272984,3782.071649,3464.023732,3506.021775,3735.661117,3025.738367,3404.407812,2965.2764,3078.42582,3940.343671,4861.027688,5561.831785,5471.386773,4505.900477,4479.036057,4574.638595,5287.962068,5329.360806,5042.044258,4794.865508,4736.217697,4766.006627,4705.838429,4963.302613,5218.143868,5914.578063,6211.237822,6394.780709,5619.163385,6619.254333,6192.47333,6647.880406,7252.672341,8611.204881,9407.696513,11665.29642,12297.07281,12029.91424,13808.49123,13789.7473,14838.59165,15609.26602,14858.42808,14967.09256,17330.97736,21421.43306,21535.87409,22029.22847,22821.80063,25386.38222,26917.69936,29421.03772,32601.44731,38865.28313,46142.36621,64503.98948,80709.56187,97225.13981,102066.4278,119253.2626,123270.1714,95500.56846,70066.84067,58096.7021,52539.80216,43518.97886,38178.34742,34880.89075,32746.10588,31633.25712,29326.08528,28498.65948,28705.47242,28872.19723,30584.10095,29975.85687,29238.22129,25802.6427,24132.15155,20702.07397,17345.5092,20911.44613,22180.43601,23300.07429,22025.81572,18371.55225,15839.35461,14821.14433,14777.58721,14533.99302,13318.09795,13419.26391,13156.04457,12512.061,11471.51365,11364.3417,11782.56745,12421.84417,13123.43084,13620.58785,13545.27656,12199.19719,11833.93705,9704.618397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Japan,376.403361,294.062364,275.942614,281.705594,251.656832,312.872571,261.706621,289.173549,281.816306,335.432295,245.857134,327.304634,355.034143,307.472838,343.80948,262.926692,349.572013,185.553593,346.033439,474.33593,493.103594,594.164176,678.476643,829.34626,865.80817,678.508481,724.114609,672.173215,676.387986,720.364482,556.285218,555.270115,600.335929,490.566408,488.913115,499.805701,493.653197,569.702675,428.256727,403.441104,474.053732,296.368143,258.201882,377.050803,585.066186,596.656132,677.065164,980.782146,867.328771,818.228559,774.678347,734.482573,682.056835,785.949166,696.89468,645.870756,585.069612,559.693077,556.050586,464.232035,487.365135,529.312734,507.222784,527.742485,537.332826,322.154137,403.975931,598.920027,686.109791,797.092493,891.879031,1167.995513,1004.958527,942.567285,808.571462,791.400119,801.336629,914.523069,855.589976,859.777053,843.154461,705.205264,739.574032,647.767959,744.518594,684.137773,773.80611,790.507975,824.991083,879.917524,1138.580711,1256.690714,1268.148341,1096.154126,1471.839465,2127.571377,1809.723675,1608.144174,1569.893407,1519.524902,1690.334411,1803.144415,2090.52281,1909.006522,2113.740265,1892.253558,1915.629985,1841.17485,2042.745583,2003.407002,2259.450779,2269.563933,2392.874835,2980.274556,3413.057325,4908.656309,5959.436105,6427.630523,5870.316915,8962.592493,10007.57583,11709.07165,13148.79826,17721.15802,17496.40813,13385.80422,9610.170958,7853.044239,6283.857681,4935.558159,4217.394145,3413.690018,3420.903274,3842.131948,3186.471563,3329.233152,2932.064347,2927.060338,2756.246933,2692.602025,2949.551509,2610.417227,3142.510905,3073.363356,3077.443054,2986.2087,2422.489995,2357.764869,2139.638929,2019.812113,1902.922853,1623.208937,1763.787137,1657.982995,1510.614806,1409.029412,1646.862448,1527.972517,1418.370681,1491.78188,1424.597748,1388.022813,1473.504354,1407.115108,1574.902356,1662.572021,1632.974452,1688.332695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
South Korea,1612.529353,2241.441289,1410.464119,1528.606784,1124.602435,1254.339336,1216.45702,1418.046576,925.879999,1059.050612,881.571095,1212.814788,1787.147771,1447.027227,1278.001935,700.182047,721.973256,779.976445,1411.831145,1613.631963,1676.445935,2941.330952,2979.976015,4402.59533,2392.210961,2514.719491,2088.293029,1755.020235,2428.756477,1397.137948,1687.906152,1695.864245,1985.047762,1837.382603,1277.759321,1883.233357,1563.122115,1645.089555,1766.023566,2023.003388,1235.416711,1277.367601,503.84814,2338.829583,2993.698265,1947.559401,3949.447077,3429.463843,2673.184144,2596.156374,2349.782886,2298.289211,1751.976448,1861.025691,1522.006835,1561.166784,1817.598631,1945.862458,1661.890039,1436.812355,1455.05945,1457.54383,1604.771926,1008.783623,1596.186179,1351.75094,1137.210801,1169.747,1963.627575,3352.261761,3718.265636,4469.638012,3372.009258,2727.266753,2345.976971,2689.859231,2605.725772,2495.951335,1876.705939,2437.560448,2894.538795,2081.812202,2278.178217,2821.687191,1838.436973,3090.135762,2120.229484,2903.622363,2079.593713,1972.217458,2381.041894,3710.762899,4112.155226,6244.050239,8373.323576,9003.321347,7358.52734,6858.12841,5641.292945,6189.517848,6580.390436,6531.658612,8533.974603,8836.690617,8343.647777,8619.965333,8702.033289,9068.260135,9362.465082,10052.25982,10362.24688,11309.88344,8102.354449,10905.39569,14363.54631,20988.57831,27061.15822,36464.1111,30702.75978,50310.03156,60320.89335,74253.51519,90437.46495,123410.0439,107306.0344,71604.7348,44147.29012,33152.42682,27646.49167,24605.53656,21340.04726,18982.51042,16397.07365,15206.49403,13881.54641,10792.88196,10876.57849,8200.313874,9589.464375,10528.53232,10601.19532,11220.29574,14706.98208,13470.05643,11428.29819,10820.02689,10638.05185,10833.22438,10183.60107,8661.014341,7531.318617,7778.68922,7990.654875,8094.38272,7819.819275,7053.241285,7687.282661,6958.919821,6809.056045,5047.732389,4247.334914,4305.377085,4497.370016,5095.397158,5767.012687,4675.022743,6142.787725,7652.977074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
