name,0:00:00,1:00:00,2:00:00,3:00:00,4:00:00,5:00:00,6:00:00,7:00:00,8:00:00,9:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
Sydney,188847.3496,186287.4689,190336.0332,202832.2515,232264.8277,262629.8517,268180.913,270157.4437,289923.5285,302135.2444,309544.8962,304196.6102,291683.3913,287021.1548,285626.7643,290923.5588,275815.6284,248845.6147,226299.417,210110.2005,202694.5629,198114.8097,193437.7498,189841.1659
Rio,113003.3619,104305.6388,99877.07505,102357.074,114122.0699,135394.0116,166145.2813,213431.9008,260422.9531,279944.1225,281168.8888,268173.5043,240290.6156,233031.4452,231231.0941,228565.2446,220053.764,202031.4051,177051.1505,164656.8072,156691.7244,145808.1298,134426.5232,121338.5803
Toronto,164265.2885,155548.2524,154580.7572,162468.3097,178737.7699,210871.1199,240779.9985,257551.5849,288198.5201,315397.7408,316036.9812,310057.6808,297124.3461,295007.9172,295701.2738,294436.3671,277182.0103,245090.4094,217355.594,196787.0037,182788.4324,177220.7569,172498.6081,168566.9167
NYC,160797.6116,168993.9575,186102.1422,208963.6764,226576.8833,250534.4202,258805.8089,261525.7452,283605.9191,301797.3525,297398.3925,288609.8639,271462.4203,265177.9119,266413.1337,261737.4099,252120.7286,225318.6648,197895.9568,178261.7586,167197.436,162731.0476,159924.61,156770.7224
Seoul,66209.003,63475.84907,61720.33693,61477.91272,63600.94692,69129.02785,74485.45075,81020.89695,91844.0414,100855.5863,100225.7949,96439.33535,90147.23589,95546.68646,95263.68922,94136.90341,90886.91241,88245.85738,81547.35369,76812.55527,75962.66389,75205.23004,74264.02219,70957.53751
Tokyo,89102.02811,83035.30597,81057.40286,85014.03393,97593.86395,118993.0892,129468.9225,131748.5362,134206.1437,132902.2859,127219.521,124680.5344,129257.1548,121878.8565,121425.8728,118904.0275,115266.9061,113424.9259,108615.0637,103389.671,99504.86094,97224.60218,95076.08659,91840.32117
Berlin,141848.0414,134335.7146,134754.8569,145284.6594,176039.5102,214821.1186,245289.7134,266788.5662,299010.7467,311246.5527,305486.0586,296328.834,282149.3858,270156.1035,261846.6574,252170.3199,241957.0861,228125.0086,211303.5335,196829.0327,184160.3326,172701.6694,160024.6837,149583.0774
Paris,149347.8223,137283.7451,137859.9206,152560.2866,184624.109,234061.7884,272700.1059,282918.2191,311558.0279,337685.0445,324500.6157,306204.5815,261938.798,245990.8995,263074.129,262316.9544,252392.8574,232508.8185,203803.7047,178405.8912,158199.3105,153075.4416,149418.1963,143175.932
London,183644.0359,181518.2416,195319.9349,211803.5346,250164.3419,297794.6724,296387.9019,298193.1958,330727.0176,350972.5785,347017.6442,337031.5319,318682.8905,307944.8484,307912.9392,299960.54,287059.9857,259126.4112,230751.2324,211447.0599,200500.4746,193380.0401,186567.1738,178588.6556
Jakarta,83097.18022,75961.36745,74271.94962,77109.51721,89966.22457,105666.3064,126857.9418,151511.659,193865.9634,212499.0296,211097.6885,198310.1606,170918.1872,185472.9038,185278.6093,180505.0868,171168.726,148072.4559,131421.1553,124918.4149,116962.4775,108936.2692,101342.9211,91706.3835
KualaLumpur,174196.255,152397.8272,141011.4626,138871.3465,147506.4102,176978.3883,233401.0645,300094.693,343159.6559,379548.8291,386117.1697,376994.1469,357945.9025,341591.4181,344919.9554,335147.1019,328885.8975,321165.159,297146.5714,243433.8922,245734.4872,244215.4455,233637.2163,211008.4515
