name,0:00:00,1:00:00,2:00:00,3:00:00,4:00:00,5:00:00,6:00:00,7:00:00,8:00:00,9:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
Sydney,47135.88486,45052.63983,45139.0798,47739.67298,53387.03917,64109.39953,74990.97437,79630.93768,84343.75317,86058.67131,84826.20733,83017.48932,82103.08234,80041.7068,81656.22413,78806.59256,77349.13496,74246.37643,69743.11417,65013.14194,62346.9753,59369.03639,55772.6108,51302.81226
Rio,62275.81033,58493.40919,56529.76356,56411.25207,62174.3186,71851.63879,83083.03506,95820.29623,108825.3867,115304.4536,115875.5604,112900.1931,107024.3692,105203.2209,105227.5675,104532.7635,102744.1445,97549.52349,89081.80259,84188.32032,80498.6616,76744.14816,72537.10223,67445.50927
Toronto,62349.15759,59869.24069,55326.64482,55064.04704,62433.49099,78298.69657,93964.53731,102609.3322,107851.2864,106429.2793,104399.0364,106382.7005,102261.5778,101480.2416,101689.5059,102955.402,102429.2023,97957.8398,90080.38064,81339.76039,75667.39896,73132.62034,70323.90742,66331.19811
NYC,51777.25966,48681.7762,48203.09643,50863.10231,59121.48845,73140.29924,88181.19239,94421.05207,89230.21391,82002.83757,77924.41863,76770.0237,75336.61865,74636.75571,74683.15167,75343.5099,77502.02908,78217.76062,71948.25348,64020.66587,59635.15323,58051.68821,56830.48623,55077.61242
Seoul,23270.1319,22007.95874,21596.65874,20648.33409,18942.44299,19241.38768,21192.69209,24365.90353,28096.54774,30941.15023,32231.99443,32384.60674,29846.40912,31618.7365,32147.43336,32209.94761,32010.85847,31455.45142,29693.6052,27656.42228,27256.76751,27303.57688,26478.16283,25333.14405
Tokyo,40175.18697,34236.0577,31768.19253,31714.48638,37539.11117,48477.51805,58656.39986,68911.64396,85011.23591,88146.14532,79637.71875,76090.96832,69166.02947,70207.94968,68265.45916,67545.66104,68360.46147,68773.05453,64007.10653,56885.2364,50553.76598,47793.0187,46432.15927,45718.28092
Berlin,164311.2047,154445.4977,144776.3852,142045.1631,147172.9856,163251.8323,185146.3825,211039.3036,229337.2618,234502.2575,234670.3965,232878.9463,229057.2058,227921.8794,225913.8144,223508.8537,221991.1317,220745.068,215226.4076,202320.7517,183803.3525,177439.9508,173730.1825,169944.2686
Paris,202915.7842,188327.738,182011.589,183494.2746,198722.0336,231664.1043,280577.476,317240.0504,354706.4531,364985.096,362952.6098,365865.1021,345835.8944,337920.2505,344113.3355,343346.6919,344826.9106,341197.0889,332213.4261,314482.0083,281338.2256,252766.0757,236612.1448,218682.2988
London,54551.25131,51448.4596,50353.98867,51861.90956,57577.78095,67079.93145,76629.99226,85754.35994,93925.54983,95732.44568,94181.61087,93711.95606,91091.75667,89634.38382,89646.67098,89551.60163,90619.81272,89011.78671,80753.05388,72556.72198,67691.23408,65073.48089,62507.99781,58574.11558
Jakarta,46901.5651,44010.68514,42417.67746,42665.09358,46752.25704,53122.2825,61810.18971,69401.45343,79601.71038,85665.03572,86802.22841,85007.84705,79512.34243,81363.28566,81414.17174,81416.48274,80364.85582,76459.93872,71076.37006,68599.37536,65000.48068,60691.86725,56409.61102,51612.19667
KualaLumpur,42453.53516,37577.01119,34536.93647,33769.44904,36066.62263,45486.60573,46307.55732,55728.66139,66844.80998,75213.95101,76824.03542,77285.26452,74824.0172,72783.72384,73747.19712,73722.33695,76664.37741,71733.63295,68350.28135,57622.6688,56086.89669,53490.10543,50735.37912,46769.59724
