name,0:00:00,1:00:00,2:00:00,3:00:00,4:00:00,5:00:00,6:00:00,7:00:00,8:00:00,9:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
Finance,160797.6116,168993.9575,186102.1422,208963.6764,226576.8833,250534.4202,258805.8089,261525.7452,283605.9191,301797.3525,297398.3925,288609.8639,271462.4203,265177.9119,266413.1337,261737.4099,252120.7286,225318.6648,197895.9568,178261.7586,167197.436,162731.0476,159924.61,156770.7224
Geographical Maps,51777.25966,48681.7762,48203.09643,50863.10231,59121.48845,73140.29924,88181.19239,94421.05207,89230.21391,82002.83757,77924.41863,76770.0237,75336.61865,74636.75571,74683.15167,75343.5099,77502.02908,78217.76062,71948.25348,64020.66587,59635.15323,58051.68821,56830.48623,55077.61242
News,237752.5389,226447.191,222758.7232,237038.2013,286547.8512,392990.3508,474979.3801,430138.6722,353149.2583,302799.527,268869.0603,253038.3209,253530.3619,246794.855,241420.8704,239619.273,243751.0764,238692.3717,232889.2061,230324.1393,241784.8293,253144.9746,258514.8881,254844.9975
Recipes,116652.4054,109579.9271,105444.9246,99411.62367,95214.4767,96146.22213,106463.4211,121321.7606,133011.9067,141164.8261,153619.8977,175702.5559,196882.76,193241.9202,187018.2313,191088.8977,209366.2392,242515.995,268993.4656,263263.8413,223529.8574,179269.3587,147567.5354,127565.8097
Restaurants,71597.30696,67136.79595,62025.74401,53709.22758,49180.79063,48431.57268,52117.68328,59405.37301,68679.13725,78406.62423,90839.01067,110282.0683,121192.0348,112907.3145,106391.6964,107550.2366,117882.9058,136856.3951,147323.4126,140636.2213,121309.0014,101722.3402,86146.72671,76926.12199
Shopping,525847.1751,506095.3475,482697.8673,464573.3337,444435.3618,430121.7376,447809.511,482811.8305,505123.7033,512399.5212,522399.907,527718.3575,528166.0839,529811.787,534949.7013,537929.4939,539728.3985,544743.0321,551474.541,555919.2746,556415.5394,551346.0716,547772.1281,538731.9596
Sports,402039.7548,368264.2861,337898.562,324321.9971,329066.6412,358031.7444,396353.4601,398107.6119,378463.5638,365673.0847,358674.8749,359265.9894,373167.1205,379162.7671,383978.1146,396288.1948,403726.0212,397342.6296,406747.9106,434207.1716,464389.876,485562.2307,489424.5994,454929.332
Travel,63336.95985,57674.98506,54247.54731,59848.95924,79606.48581,95167.35097,90891.31105,81713.87169,77501.89921,75580.89547,73811.29174,71932.32089,70314.69977,69683.9162,70024.53222,69817.30846,70494.76596,70643.61144,70793.3041,68960.48245,68121.9178,68451.13936,68706.9265,66792.18779
Music,480436.1359,476262.2047,461555.4995,430634.3646,400341.9968,374534.2081,375418.7647,378317.2043,362796.9517,346870.2784,346367.9259,347403.6285,352513.69,359671.1052,360979.8198,362918.1657,368680.1763,383684.4521,399902.7092,418369.0671,436985.7245,449904.0613,459296.3017,468399.3927
Health,388582.751,393209.4297,396308.9482,404116.5715,406566.7292,406512.5874,410826.3204,419054.4647,432773.1537,440073.9384,437203.3121,431550.5966,419131.1979,416877.7817,420001.4721,413483.1186,399295.7312,381931.016,377329.4061,371888.6,373660.4912,382508.6505,388811.3313,386336.4875
