name,0:00:00,1:00:00,2:00:00,3:00:00,4:00:00,5:00:00,6:00:00,7:00:00,8:00:00,9:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
Sydney,232432.1962,232441.6535,256036.5118,310297.4226,435874.7697,591335.4883,605368.743,489939.1084,367245.7264,282569.9753,249978.5931,236881.586,250722.3942,249112.7477,231016.1648,233094.4429,232658.2837,230657.4356,233609.1366,228262.0799,230900.2216,241344.3416,248738.9085,240932.7226
Rio,193294.9263,180727.2032,178522.9198,194721.402,270017.4283,408065.2952,445984.7985,382193.8275,311098.9937,257389.5529,227640.1324,216580.254,219500.6,213075.416,199161.2658,199420.8488,208954.1914,216782.4043,214469.783,211517.8279,211641.1494,210075.1551,208777.1529,203771.77
Toronto,250670.6386,240097.1735,239831.0678,262705.0073,335626.0689,497709.858,598983.9002,564887.5381,443121.0349,351333.4191,301775.8331,283564.4733,287995.8993,269542.0507,260316.51,259071.7015,257603.0054,250504.8681,249358.8267,246619.775,253300.477,263612.531,270196.7499,266738.4766
NYC,237752.5389,226447.191,222758.7232,237038.2013,286547.8512,392990.3508,474979.3801,430138.6722,353149.2583,302799.527,268869.0603,253038.3209,253530.3619,246794.855,241420.8704,239619.273,243751.0764,238692.3717,232889.2061,230324.1393,241784.8293,253144.9746,258514.8881,254844.9975
Seoul,112900.0524,106429.0612,107314.4059,116110.6081,156142.8259,231122.1228,264581.7284,253723.3092,212537.6484,179166.6444,159087.1037,153135.3628,161074.9456,147256.3443,142052.8497,142109.1191,138194.5274,140147.4236,142013.6875,142104.4009,141531.4982,138734.754,130450.1935,123519.4177
Tokyo,146470.1497,142365.2783,141438.1995,150237.5352,188175.1572,262448.5952,289861.8538,272744.594,233654.0651,192819.8919,171327.5796,166899.0502,184263.4613,161197.2996,155770.7059,155080.4981,152650.0688,155438.9728,151684.7539,147791.3028,150074.3285,154042.7913,153088.215,152749.4695
Berlin,264475.8258,250508.1392,253685.1452,286884.1199,411415.9036,567838.946,637378.4191,550694.3401,436559.859,359109.517,304062.579,281639.8456,282292.635,271323.4601,261828.9194,259806.4556,259473.7747,260435.4404,263500.3191,264051.364,260102.2093,265056.3656,276273.8326,273389.1113
Paris,247620.4278,224507.1255,213397.6785,224569.5378,268496.6051,375767.9445,522436.0506,551328.6838,450923.5384,360735.2522,299093.0342,281447.6279,302829.5622,293896.6087,255842.4418,253511.7454,265836.1889,275640.7793,288286.7031,325305.8263,426720.8441,314735.5272,283989.5683,271896.6788
London,321964.0922,313262.0203,321074.9048,349242.6268,428310.7491,579959.4796,661119.2782,607836.9169,497068.4397,403048.2963,354348.7246,337565.0378,384936.7916,383458.3393,336120.9529,337090.0875,339588.436,335477.0298,326701.9682,320605.9712,328732.91,337538.4874,348801.5906,334195.9613
Jakarta,178629.4633,179648.651,209363.8461,245196.8067,254977.0108,252330.8679,260716.1683,256202.0014,239468.8109,221676.366,209482.2821,207520.7203,206551.1255,200860.5226,195446.3323,196831.1212,202851.022,201869.8717,202788.3409,198672.1808,196938.1518,194417.5617,189378.8824,185580.6824
KualaLumpur,167683.5933,144528.2351,138442.3726,148937.8458,171963.9378,211779.3082,272743.0875,313217.1667,272473.2284,234519.7476,216059.9656,202653.4398,206524.6136,195292.1547,192832.1469,189974.6739,189010.8654,194918.6087,199409.6147,201148.1835,204275.9319,201866.2144,199266.5508,184139.3296
