name,8/7/16 0:00,8/7/16 4:00,8/7/16 8:00,8/7/16 12:00,8/7/16 16:00,8/7/16 20:00,8/8/16 0:00,8/8/16 4:00,8/8/16 8:00,8/8/16 12:00,8/8/16 16:00,8/8/16 20:00,8/9/16 0:00,8/9/16 4:00,8/9/16 8:00,8/9/16 12:00,8/9/16 16:00,8/9/16 20:00,8/10/16 0:00,8/10/16 4:00,8/10/16 8:00,8/10/16 12:00,8/10/16 16:00,8/10/16 20:00,8/11/16 0:00,8/11/16 4:00,8/11/16 8:00,8/11/16 12:00,8/11/16 16:00,8/11/16 20:00,8/12/16 0:00,8/12/16 4:00,8/12/16 8:00,8/12/16 12:00,8/12/16 16:00,8/12/16 20:00,8/13/16 0:00,8/13/16 4:00,8/13/16 8:00,8/13/16 12:00,8/13/16 16:00,8/13/16 20:00,8/14/16 0:00,8/14/16 4:00,8/14/16 8:00,8/14/16 12:00,8/14/16 16:00,8/14/16 20:00,8/15/16 0:00,8/15/16 4:00,8/15/16 8:00,8/15/16 12:00,8/15/16 16:00,8/15/16 20:00,8/16/16 0:00,8/16/16 4:00,8/16/16 8:00,8/16/16 12:00,8/16/16 16:00,8/16/16 20:00,8/17/16 0:00,8/17/16 4:00,8/17/16 8:00,8/17/16 12:00,8/17/16 16:00,8/17/16 20:00,8/18/16 0:00,8/18/16 4:00,8/18/16 8:00,8/18/16 12:00,8/18/16 16:00,8/18/16 20:00,8/19/16 0:00,8/19/16 4:00,8/19/16 8:00,8/19/16 12:00,8/19/16 16:00,8/19/16 20:00,8/20/16 0:00,8/20/16 4:00,8/20/16 8:00,8/20/16 12:00,8/20/16 16:00,8/20/16 20:00,6/22/16 12:00,6/22/16 13:00,6/22/16 14:00,6/22/16 15:00,6/22/16 16:00,6/22/16 17:00,6/22/16 18:00,6/22/16 19:00,6/22/16 20:00,6/22/16 21:00,6/22/16 22:00,6/22/16 23:00,6/23/16 0:00,6/23/16 1:00,6/23/16 2:00,6/23/16 3:00,6/23/16 4:00,6/23/16 5:00,6/23/16 6:00,6/23/16 7:00,6/23/16 8:00,6/23/16 9:00,6/23/16 10:00,6/23/16 11:00,6/23/16 12:00,6/23/16 13:00,6/23/16 14:00,6/23/16 15:00,6/23/16 16:00,6/23/16 17:00,6/23/16 18:00,6/23/16 19:00,6/23/16 20:00,6/23/16 21:00,6/23/16 22:00,6/23/16 23:00,6/24/16 0:00,6/24/16 1:00,6/24/16 2:00,6/24/16 3:00,6/24/16 4:00,6/24/16 5:00,6/24/16 6:00,6/24/16 7:00,6/24/16 8:00,6/24/16 9:00,6/24/16 10:00,6/24/16 11:00,6/24/16 12:00,6/24/16 13:00,6/24/16 14:00,6/24/16 15:00,6/24/16 16:00,6/24/16 17:00,6/24/16 18:00,6/24/16 19:00,6/24/16 20:00,6/24/16 21:00,6/24/16 22:00,6/24/16 23:00,6/25/16 0:00,6/25/16 1:00,6/25/16 2:00,6/25/16 3:00,6/25/16 4:00,6/25/16 5:00,6/25/16 6:00,6/25/16 7:00,6/25/16 8:00,6/25/16 9:00,6/25/16 10:00,6/25/16 11:00,6/25/16 12:00,6/25/16 13:00,6/25/16 14:00,6/25/16 15:00,6/25/16 16:00,6/25/16 17:00,6/25/16 18:00,6/25/16 19:00,6/25/16 20:00,6/25/16 21:00,6/25/16 22:00,6/25/16 23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,191172.6677,130581.465,141055.5001,145853.0117,205892.057,225697.761,200575.6586,146769.1914,162067.9721,154321.2602,226122.4323,258652.2673,180673.6471,113583.5716,114397.8518,129235.7197,205811.3388,186453.9082,144639.6422,91833.26436,115102.8361,128799.8387,197950.7143,260645.4528,214311.0823,109828.2375,123701.2328,142141.5896,194352.8402,198490.8093,178667.0334,90473.31852,109260.9296,141475.7612,170811.4329,193614.3001,153799.3515,93126.65578,102444.1611,153913.5505,156590.4234,205854.9258,173472.5978,93593.17354,112594.2796,125383.6738,184000.5222,182824.1742,159114.3299,79712.69713,93167.46863,99806.42186,135251.6958,121920.89,86599.81306,61421.89247,87273.10442,115355.5319,172650.987,142497.0724,86006.55184,61292.64014,84917.08768,106904.34,162156.1172,131002.19,93920.70273,57939.62603,78289.30679,108315.0332,156127.7722,122353.7799,101910.6016,57580.43695,81176.42869,137741.5244,160296.7973,197378.7686,120706.9176,67986.87104,82362.21393,118016.3138,126017.3667,162513.4612,17449.02758,19474.35263,19472.88527,20708.99619,21850.31335,25872.64907,25923.5256,26605.95946,33127.48681,33870.4195,28737.48407,21682.19242,19069.32139,17884.68414,19953.34427,21658.36604,21391.43129,25152.88059,30109.97817,36425.30702,41047.39661,43803.39615,49604.40913,60444.90901,78222.59103,88551.22087,98729.71773,101669.8994,122238.0812,145081.6976,188724.5376,214887.0339,237089.0493,205493.5585,161890.8369,166819.8753,208738.781,273404.1206,336770.8836,466485.1867,479950.8104,360243.3996,239617.9991,196397.4321,153330.2934,122990.8642,105507.2679,105819.3225,108177.951,114198.0402,112986.3728,108646.9295,104745.8852,103046.3657,105073.1951,109944.5603,127699.0456,122389.853,110226.2901,88940.79362,73785.20437,64820.76036,56987.25476,52272.55474,47651.93001,44358.24238,42015.46309,44184.01696,45558.04046,41712.02054,39906.3379,41137.49868,43770.26401,45903.7108,45378.18037,43625.45908,44412.69044,45286.08614,44143.3244,46535.17607,48184.50043,51118.76449,47618.25477,42534.8647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Brazil,204352.1542,150055.09,206547.1796,206269.6261,206514.5598,196481.4674,244621.4546,289824.8894,431391.3626,228337.2154,179354.7423,240274.9178,193325.6914,165751.4763,227544.1777,164371.184,137604.9693,154097.7092,158042.8816,140048.9404,165766.2345,120133.6838,112413.0284,134494.6589,197368.1004,147891.0158,167789.9244,109958.6331,110933.8279,142506.1917,161202.477,139871.7947,178165.0712,125076.6993,115786.0727,142287.1407,160321.1136,166437.0665,192131.8182,141061.6635,141346.487,141698.4399,165519.445,130840.9319,185347.0094,152855.9644,203166.0846,165130.8893,211734.3681,140200.7318,158893.6235,127706.5142,152802.2766,144209.5179,183692.172,197271.007,220931.3704,151207.3708,166532.3784,189788.5319,183583.9305,186887.7614,183909.9225,122003.9187,159356.1599,138712.8439,169350.2871,182981.7861,214344.991,115842.1487,115761.1487,132632.6193,172186.5105,225532.2816,208186.8795,115156.8949,117307.3477,121853.2491,169775.5261,119793.1784,178389.6174,161111.1848,144702.9032,274690.7534,720.313885,714.597465,759.541468,704.159541,806.380195,647.329138,776.195802,811.877867,789.302405,881.806259,776.451212,889.317766,644.818868,727.146442,801.147913,1097.101302,1112.672615,1490.279817,2146.327744,2310.361527,1678.198145,2052.742319,1833.420817,1908.918521,1729.378271,1734.416117,1775.835841,1773.800286,1920.88174,1768.484129,1937.959113,2343.80848,2991.558244,3438.802075,2926.550296,3592.873609,4600.613582,6279.114513,9600.074041,16703.67291,22372.06996,22937.98415,17549.98081,18225.75818,18437.24514,18296.7082,16528.53075,12604.87733,10696.64849,9495.810511,8186.561003,7757.717739,7348.418999,6915.556347,6780.920802,6694.330054,7507.385895,6617.106019,5350.256309,4811.744315,4711.765079,4432.598984,5100.242193,5785.294845,5259.953953,5059.786907,5399.296836,6176.520702,7201.731581,5974.913897,6139.861593,5301.170835,4985.908604,4546.99123,4403.399495,3721.106442,3478.202624,3641.969035,3230.952233,2965.779078,3326.635174,3334.406746,2902.554441,2777.0263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Canada,164448.3409,119969.6506,131977.4006,166203.4902,150870.9996,167494.6392,214255.3543,178187.3913,257667.2949,176629.9732,141662.3135,151543.3458,179117.4586,129700.8641,165006.622,130902.4986,112922.7136,134548.6653,157555.0623,116216.2448,127789.1299,106736.8617,100878.8939,108734.7546,162755.0835,112697.5622,119476.7953,100468.7701,94700.98192,108209.4946,178137.0998,128914.0031,145722.156,126948.952,135227.5639,158392.3957,195535.4718,122541.8207,127873.382,147876.1106,128756.3245,147711.3756,188254.0939,116273.5864,133354.8537,155452.9064,139846.3129,158260.6754,225540.1362,113336.8628,127478.6437,100510.57,87941.807,97430.08393,128939.7833,86639.6462,102343.8099,96175.81913,102341.0408,110944.2875,156504.6598,97735.16998,113418.1563,97480.76848,85641.92707,100217.7131,148520.0577,84735.48661,96703.34331,93376.0191,88146.66973,131883.8046,208349.8285,102901.7977,122978.9058,109452.8678,125669.1444,122146.8606,183651.4597,100279.6127,113352.6198,117836.6491,110561.085,136109.0985,15331.09852,14824.55131,13852.53632,13195.4283,13343.70899,12665.84607,12891.20381,14423.29498,14098.98035,13761.98489,14505.5035,14622.62589,15821.74711,17050.20609,19400.37851,21004.22514,24211.37459,28771.15653,34655.87045,35647.97624,43603.69452,53885.96332,62115.77869,61948.91753,59237.00502,57473.06639,56939.82499,57010.40561,60487.14008,59455.88662,65264.46999,74867.5085,84690.10914,104098.4238,117407.829,156753.1298,205180.1265,281469.8216,350047.2346,457530.2746,478365.6743,380450.0194,282458.7337,255237.7062,282581.1894,362613.1844,414200.5106,335843.1074,252264.0867,191574.034,147965.0521,122223.5205,108134.1474,91692.85378,82569.16274,76187.65265,70045.58264,67568.71267,64950.38091,57623.21355,54407.04783,54027.40593,53747.32908,54837.2867,52336.82803,53263.10397,52016.42727,52073.47093,49123.31027,51505.52479,51887.85892,49458.84608,47215.46529,42725.71484,38563.89725,35753.72457,33959.00741,31088.51615,27888.24133,27331.55781,25512.13953,23887.13124,24236.74219,23437.44668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Germany,88108.02949,121850.1361,72387.71453,78997.1906,105486.26,119668.2331,159920.97,167476.1848,90991.65546,85784.67001,104888.4078,110528.6644,146226.3101,113994.4667,69549.61763,75391.31175,102486.777,104046.2379,120503.882,74578.87323,44867.66832,55920.0805,81600.87253,97661.9191,104074.8005,68043.79725,41297.96693,81972.08803,111874.3402,117123.1073,124791.5948,91188.95321,52634.19496,83649.18576,126609.6863,136701.0072,123147.8823,125902.4211,71373.61393,111823.1656,173680.5367,169374.8963,149958.7531,192484.7898,89492.13906,86190.95586,91380.09236,112732.1216,163176.6505,93899.07159,50871.94758,62794.78456,87509.90335,92278.88986,98309.10956,66943.76808,38973.28862,70650.91349,117222.9079,183344.3481,181282.7693,117443.369,53376.54324,65375.91632,94470.13073,98306.68891,148761.1698,118034.346,47962.81078,75971.81447,97600.42689,96159.63639,125552.1308,77197.1965,42106.95319,58746.32426,92076.23519,153047.6664,147449.5804,138144.3426,61850.7314,115366.8211,100847.7571,181825.4785,13479.64471,13876.08734,14531.04982,14302.90727,13659.6327,11059.2364,13347.81027,17406.40591,16095.37509,27344.79391,31733.96967,20588.769,17944.03655,16856.11554,19313.59055,26358.55386,30969.35591,33512.21115,33525.80473,33874.09148,35853.06375,42316.57297,51277.09377,52734.70008,52641.50071,57947.33491,64150.09705,71247.88528,83184.08153,89687.05983,95205.81239,114749.7889,162337.564,220024.2566,211661.8104,249728.9459,352912.8776,460291.1387,615993.3361,792724.201,870400.0365,712368.6336,504220.4557,378856.9776,282401.4749,229223.6642,222341.2666,186225.4201,153464.5964,137440.5593,126271.4809,114985.0819,105969.6269,96492.95987,93171.58469,79319.51861,90107.66677,83328.60772,87649.98211,76119.91158,73515.17551,68313.41576,64957.28353,70772.50139,70193.77334,69713.9945,65891.68533,59577.66473,52650.76732,47241.06874,43581.44703,43900.22871,40187.07155,38392.26821,34484.4747,33449.46788,41109.7989,39985.94743,43511.56088,38425.08262,35167.98099,37726.07509,41436.68534,38302.63937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
France,91926.63754,129737.8758,102357.6852,108793.9306,127441.0269,144154.8952,172762.859,245960.5252,138738.6918,108636.6301,135411.3158,142140.7551,137712.0277,158479.359,105395.9775,108141.3877,176583.5342,213540.7089,141506.3871,154893.2355,89769.04155,88280.49804,122013.0473,127015.845,132203.2661,113369.0782,70812.35446,81946.87699,126688.9538,183218.7881,147655.8912,154421.0231,93788.15738,145255.9298,189706.8711,356021.2072,265527.7206,290131.6285,133686.6615,110720.6647,149251.6331,170041.6657,162169.5872,184794.1266,112311.4953,107952.7417,178506.8678,248117.7319,283935.1848,290001.2819,137534.803,120620.5999,140241.7968,159394.2702,223688.1868,183214.381,90750.53276,93690.82169,145241.8512,157222.8167,157035.6159,153701.2141,88250.80676,112164.5711,154529.174,155971.555,152520.1325,141496.4575,78305.48298,80731.57827,122386.4134,162323.4162,210633.3334,200341.8428,93034.47595,98307.37183,157632.9719,240276.0654,169864.4657,204832.4456,106931.1097,109236.8031,154141.6645,212401.2749,7369.114228,7591.790973,7936.852887,8796.684893,8363.242047,9591.570298,13141.4989,8865.848873,11035.16547,14348.97295,13965.31267,12226.01906,10990.02011,11828.99338,10920.56112,13680.10944,20389.53301,23385.97939,22085.93343,20303.14845,21219.52575,24887.52826,30396.94659,34269.16205,29946.71146,33281.74732,39688.00562,43470.86405,49665.8756,60419.51116,73726.65348,84282.98868,134277.0937,177986.4387,178685.2619,193251.4761,232694.9041,308325.2735,386871.3898,549350.1103,604829.406,517251.1406,374687.5301,266227.8437,201139.1852,162811.3265,159999.5489,144976.6143,91932.94858,79440.95393,74619.99754,72283.23591,71540.10984,74143.78121,85679.76777,55931.16998,60389.23452,62432.01907,58484.39317,54525.62705,50265.14806,49106.7269,52585.01843,53525.31342,56848.63502,61762.32821,54905.05247,45767.26447,39346.39083,34251.88669,38496.969,38047.81882,30700.15157,26565.21844,25409.46719,26029.66537,27468.11435,30306.18427,37917.083,24907.38252,27055.60057,27480.30471,29926.62689,28679.0956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
United Kingdom,86620.87962,103077.5992,80254.39705,80390.87881,99911.29863,108047.4555,124647.2481,217601.4026,104290.5482,86401.41614,101737.2086,128808.1011,95000.34672,126374.8452,71908.64815,69734.59619,79008.45021,97302.87331,92106.70618,96211.56846,53797.77073,59301.35671,88245.66684,134165.1216,100071.4686,106676.9267,57445.35963,68564.59401,94766.24886,126311.5947,100210.4059,120389.489,60114.21562,91530.05294,117720.4112,155355.5988,128747.2622,149629.6574,86597.93589,112986.2556,120352.5743,177230.4704,227249.9331,250903.485,131374.8381,99949.96757,193182.2281,206355.4889,297431.4537,257871.2067,88957.42552,81602.90332,120494.4534,126335.0777,110914.615,121532.1136,57996.63075,70074.1941,116418.6992,173282.9809,122196.7662,140406.7892,60176.62278,66169.45773,84772.98247,99158.91595,112249.2515,96566.56076,47896.16939,68452.63197,107840.8476,106409.087,139912.4212,133743.9962,58471.29162,64395.52891,92282.64733,150659.9018,146187.1566,151971.2494,82107.67714,85115.87972,109063.0478,122494.1041,79112.9658,66687.81156,67407.14964,69502.9571,72907.59,79854.60676,100229.5153,86033.39473,95076.32931,148746.0337,131926.4481,123833.2285,112892.8194,105145.0537,102782.0218,114419.0231,140345.0277,159924.452,166825.2278,160586.0244,150525.7925,146355.4895,150974.4569,168964.7022,175263.6971,166748.478,176951.8228,182881.8242,197201.7403,207887.4271,210339.3343,217261.1024,260586.0074,421577.6976,539813.7828,899747.3183,1153974.612,1426796.818,1656223.61,1919955.115,1734284.992,1531087.909,1168541.686,718043.6181,537890.4617,426824.1376,361815.6448,328023.2144,299563.1939,263459.4265,243212.08,232288.9283,228168.8709,230301.4697,201783.9097,186922.9311,183134.2591,207647.3695,204267.7747,186969.9603,178065.1277,174631.86,163240.6496,154316.1836,162826.6119,168762.9888,161846.9062,149769.4778,137942.7386,126818.3663,126706.9771,124231.0286,120476.0509,120263.1256,108650.1582,106145.1632,109357.0486,109977.7352,113271.262,105007.0351,106531.3615,111763.8497,120549.4536,121974.5059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Indonesia,41371.62285,34749.72853,32815.37999,28060.86727,29170.82382,49713.77204,64964.427,92258.96203,74695.39936,55623.86404,41443.75654,70965.36325,66174.25744,67354.15703,67779.91474,49935.66634,32129.97885,48423.6637,37810.03808,31537.08926,30822.8149,29254.99257,31255.25963,44750.3753,41315.33318,30634.83355,32283.04977,45234.82863,38359.79721,53924.44717,41865.30151,36418.16765,38668.29887,48355.684,52920.58474,57876.37404,48071.64378,37749.39704,35331.50079,48882.77314,41700.93013,55407.18541,46018.78885,33372.02809,31859.46339,33326.8057,28881.12014,43745.39412,43318.98597,33116.64959,32537.98472,44313.47795,31489.46932,73574.27003,53051.78912,41650.54713,45580.31896,47987.03289,42753.56425,56947.97904,51000.56623,40267.46204,46224.50071,103560.8057,188189.8715,175828.7297,91681.50558,51889.24251,44763.3475,39584.87667,37787.37526,46745.42371,34969.89437,27755.0622,28969.32159,36658.47686,38642.82098,45355.91211,33862.28319,25298.4728,29576.01822,35158.72971,30193.84073,53241.65457,1271.743277,961.218801,1079.069745,963.784348,984.668182,869.099452,700.850323,906.260662,714.4856,1230.762152,1542.402554,2357.410126,2535.381184,2337.747303,2432.593396,2185.263321,2278.147799,2406.585641,3162.315483,3151.579034,4035.386084,5265.297908,4380.614298,4856.682061,4419.344891,3716.920344,4091.235163,3959.058061,3690.587918,3400.721871,4084.729797,5713.376959,6663.796108,10593.23354,12045.17673,20561.90945,24609.35815,22847.70296,23451.77508,28033.9744,34948.75618,35002.02864,28694.28992,25814.90705,28950.19286,26747.48221,26079.32858,22637.71942,17012.62124,14359.67829,13318.85309,12419.263,14223.31537,18335.68406,14481.49996,13729.70053,14450.93915,17560.61874,15583.11637,18726.86152,14724.53757,14561.53763,12694.14134,11923.41964,10678.31176,10759.13875,9286.478872,10231.78722,10275.5094,12056.64104,9972.570645,8943.066276,7279.200665,6506.843998,6189.166246,6293.6177,6028.48853,6411.923701,6165.584478,5548.659552,6301.304805,6940.538868,6618.755089,6875.127317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
India,118160.4417,85933.33985,77819.43434,124409.1591,151905.6389,140673.5026,230108.7936,165441.3708,133191.4231,198364.8896,187845.6472,156239.0966,185180.8109,132876.5293,122119.5024,159984.8938,149107.1038,144501.814,137318.9248,80469.06389,77750.11145,126767.4229,117828.555,162495.5447,146427.9436,71032.01475,75363.26943,124822.3594,112361.7651,114033.807,109059.6021,66535.77371,67561.10854,107359.5853,126002.7264,133311.906,112563.3763,68626.32178,64571.71097,106673.0397,130768.3694,160470.0141,119757.1817,70212.21859,74522.39539,141074.8739,220174.994,151615.6732,166288.6897,82966.45352,67129.99496,116435.5105,96961.33285,145066.2221,120836.6491,63955.46903,59548.52755,82787.43297,89334.19611,139786.7871,123010.4454,64292.94,62255.56768,130784.4675,104502.6905,193643.8398,195159.0376,109624.1004,91962.20257,230649.4041,207403.5979,125038.4101,150892.0052,93034.13416,97306.20798,411030.7574,184731.1609,121896.0991,139512.1314,85185.17319,96565.20824,115918.6369,102654.9603,118131.1113,4736.217697,4766.006627,4705.838429,4963.302613,5218.143868,5914.578063,6211.237822,6394.780709,5619.163385,6619.254333,6192.47333,6647.880406,7252.672341,8611.204881,9407.696513,11665.29642,12297.07281,12029.91424,13808.49123,13789.7473,14838.59165,15609.26602,14858.42808,14967.09256,17330.97736,21421.43306,21535.87409,22029.22847,22821.80063,25386.38222,26917.69936,29421.03772,32601.44731,38865.28313,46142.36621,64503.98948,80709.56187,97225.13981,102066.4278,119253.2626,123270.1714,95500.56846,70066.84067,58096.7021,52539.80216,43518.97886,38178.34742,34880.89075,32746.10588,31633.25712,29326.08528,28498.65948,28705.47242,28872.19723,30584.10095,29975.85687,29238.22129,25802.6427,24132.15155,20702.07397,17345.5092,20911.44613,22180.43601,23300.07429,22025.81572,18371.55225,15839.35461,14821.14433,14777.58721,14533.99302,13318.09795,13419.26391,13156.04457,12512.061,11471.51365,11364.3417,11782.56745,12421.84417,13123.43084,13620.58785,13545.27656,12199.19719,11833.93705,9704.618397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Japan,116875.8263,84364.55555,73687.24524,81676.42214,106830.5403,163427.1961,126791.5048,119956.7732,120647.1194,109765.7259,120535.8176,242861.6587,126623.0781,95867.81981,108105.456,108111.3892,108782.2339,150368.4286,92571.5713,60602.56089,71487.48465,111765.5264,119207.341,289247.2666,160528.8049,81648.56838,79906.41447,93445.07621,101189.1449,153410.8639,121227.4572,73563.10995,72468.10104,88629.07654,115920.5369,175340.1356,98330.24557,65214.58814,72794.84324,91323.71073,92170.81071,137138.9395,90066.48508,59067.52401,69471.53048,89418.44182,125541.8921,174458.1052,131721.9238,61622.47299,61562.00137,89330.80049,84650.43378,118808.2313,61245.866,41711.04239,53713.71541,81854.73148,137269.0159,138600.9902,66488.97586,43199.62677,56274.97232,71670.69501,112307.0975,223104.2385,105789.2835,51928.63827,63529.47629,103516.6215,194117.5353,220714.0345,79312.17592,47009.75089,56822.03867,68715.94468,85542.05578,115917.8544,109351.0522,61149.11689,63002.7671,59371.26549,61070.62457,125278.9098,744.518594,684.137773,773.80611,790.507975,824.991083,879.917524,1138.580711,1256.690714,1268.148341,1096.154126,1471.839465,2127.571377,1809.723675,1608.144174,1569.893407,1519.524902,1690.334411,1803.144415,2090.52281,1909.006522,2113.740265,1892.253558,1915.629985,1841.17485,2042.745583,2003.407002,2259.450779,2269.563933,2392.874835,2980.274556,3413.057325,4908.656309,5959.436105,6427.630523,5870.316915,8962.592493,10007.57583,11709.07165,13148.79826,17721.15802,17496.40813,13385.80422,9610.170958,7853.044239,6283.857681,4935.558159,4217.394145,3413.690018,3420.903274,3842.131948,3186.471563,3329.233152,2932.064347,2927.060338,2756.246933,2692.602025,2949.551509,2610.417227,3142.510905,3073.363356,3077.443054,2986.2087,2422.489995,2357.764869,2139.638929,2019.812113,1902.922853,1623.208937,1763.787137,1657.982995,1510.614806,1409.029412,1646.862448,1527.972517,1418.370681,1491.78188,1424.597748,1388.022813,1473.504354,1407.115108,1574.902356,1662.572021,1632.974452,1688.332695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
South Korea,126404.2675,85535.91307,76165.35952,73126.23481,72033.5961,193569.6787,198820.5293,328285.0384,369732.0351,259122.4963,108376.0601,382068.4023,235984.294,202334.6667,250203.2282,163582.2868,68669.35933,187740.3254,89241.7791,56476.21318,65238.3728,82357.20263,95117.57794,246075.2516,119675.9653,60026.24965,68193.51416,73980.64605,56510.38026,177257.1201,84212.23807,64376.72476,80872.45438,87694.03775,68009.80446,199345.7987,113511.2838,74734.82074,77488.13688,71598.21117,55744.56689,142629.3083,88779.35806,57215.12671,58496.79514,61494.62677,50416.65681,127393.0591,104409.3919,58503.56158,59937.01901,57296.60895,44022.36276,110721.9273,57257.51961,40732.82885,51768.25124,57873.84831,47925.92526,105523.8202,50955.00925,38325.58964,49226.32507,52848.93172,45662.31203,95622.50733,69488.45981,39056.05168,42969.85343,47079.54114,38656.20357,97001.05625,50485.22796,34174.97618,44121.00271,52972.45381,37806.4607,94984.50328,85988.18318,50823.93018,51062.06706,52283.1811,63028.71288,189662.2122,1838.436973,3090.135762,2120.229484,2903.622363,2079.593713,1972.217458,2381.041894,3710.762899,4112.155226,6244.050239,8373.323576,9003.321347,7358.52734,6858.12841,5641.292945,6189.517848,6580.390436,6531.658612,8533.974603,8836.690617,8343.647777,8619.965333,8702.033289,9068.260135,9362.465082,10052.25982,10362.24688,11309.88344,8102.354449,10905.39569,14363.54631,20988.57831,27061.15822,36464.1111,30702.75978,50310.03156,60320.89335,74253.51519,90437.46495,123410.0439,107306.0344,71604.7348,44147.29012,33152.42682,27646.49167,24605.53656,21340.04726,18982.51042,16397.07365,15206.49403,13881.54641,10792.88196,10876.57849,8200.313874,9589.464375,10528.53232,10601.19532,11220.29574,14706.98208,13470.05643,11428.29819,10820.02689,10638.05185,10833.22438,10183.60107,8661.014341,7531.318617,7778.68922,7990.654875,8094.38272,7819.819275,7053.241285,7687.282661,6958.919821,6809.056045,5047.732389,4247.334914,4305.377085,4497.370016,5095.397158,5767.012687,4675.022743,6142.787725,7652.977074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
