name,0:00:00,1:00:00,2:00:00,3:00:00,4:00:00,5:00:00,6:00:00,7:00:00,8:00:00,9:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
Sydney,110629.8669,103860.6766,98690.01904,95603.13299,96307.01377,102681.5659,128590.2187,156786.2292,165174.2805,167712.2185,179005.5783,194313.7517,213600.9187,213967.9822,205460.8192,220486.814,254389.1391,309964.375,318537.3777,254265.2535,191209.0105,150068.6131,130215.493,119857.2437
Rio,106287.9937,92871.28789,84567.98814,79511.30158,77721.14112,81092.86002,95493.15932,115804.493,131786.2957,151215.8086,171851.4156,187753.8145,191630.3403,179389.3856,171430.0023,178749.352,187622.9117,193231.0857,197803.1668,196662.6372,185302.0329,162508.5925,141476.3301,121595.4728
Toronto,135162.3811,132343.2174,130754.8696,123603.9976,116699.1301,112651.3534,120094.9838,137631.3952,147469.0893,154861.721,165703.4497,187657.427,206549.4664,201221.3579,198497.4071,210638.6697,243255.0679,293228.8833,308158.8381,274531.1747,225685.3989,185450.0431,157553.7285,142493.7971
NYC,116652.4054,109579.9271,105444.9246,99411.62367,95214.4767,96146.22213,106463.4211,121321.7606,133011.9067,141164.8261,153619.8977,175702.5559,196882.76,193241.9202,187018.2313,191088.8977,209366.2392,242515.995,268993.4656,263263.8413,223529.8574,179269.3587,147567.5354,127565.8097
Seoul,79769.61617,79388.50358,78499.53944,77970.61179,76283.69666,74427.38727,75938.36692,77610.98967,76715.64808,74471.34842,77184.60412,84400.0245,92376.99125,85349.27864,82585.51033,83580.74187,88253.53305,96301.72901,108111.365,107828.614,96513.28652,89918.36753,86528.52096,81937.17883
Tokyo,117510.3266,111243.9064,107759.0771,106140.3349,107834.2755,118776.3509,125783.9862,124521.8121,125184.4115,126687.4776,136714.4757,159977.5225,174861.731,162199.3928,155174.4824,165003.9178,194269.5361,235083.0193,266287.9266,249605.2671,202848.5933,167686.3129,144283.542,128235.8216
Berlin,101401.8154,95075.5254,91038.74863,87961.59861,87855.72354,94478.39418,108166.5126,125008.1844,139203.5387,148845.1794,158388.788,173694.3163,187397.9885,184311.3316,180476.3277,183240.0382,196994.7168,218731.1215,234850.1433,219513.1972,176331.943,146731.8479,125227.538,110680.6856
Paris,109556.0466,104267.8976,106011.6051,105306.0622,105984.7708,106653.5056,109271.2303,120226.6256,136731.1891,151431.2167,168647.7319,194714.5515,226369.6602,202324.6898,168126.4937,169249.7338,187293.8218,220361.9791,275297.0164,310067.8115,266612.9399,197220.4669,147200.646,121414.4947
London,105303.0244,99978.87393,94589.43169,90441.62864,83583.04358,81141.18238,91620.81768,108928.9422,120559.277,129247.926,142038.39,157996.0467,176427.052,176779.3376,167260.2107,170390.5401,190604.2867,227665.7541,262547.9669,256462.6735,208172.6175,157036.7493,127868.4517,113281.6211
Jakarta,73711.41724,64945.96481,64576.10525,76388.8636,112368.0937,151423.7755,179178.5911,185609.193,184977.2696,185775.7832,190735.3405,191456.4896,191739.0241,184180.5884,184050.7512,183661.4465,178909.5428,177731.6517,173410.7874,161922.3706,145809.3563,127611.9437,107556.4363,88271.77339
KualaLumpur,120723.654,100285.3366,89117.32233,85110.83739,92035.52999,114329.6609,143624.5512,179337.7278,189633.0497,200440.5603,216181.2783,234926.9353,244014.6983,245944.7889,233375.3564,236792.3464,254864.2829,264581.9305,262911.1267,207332.0535,197244.111,178062.8361,156772.8708,139146.6074
