name,0:00:00,1:00:00,2:00:00,3:00:00,4:00:00,5:00:00,6:00:00,7:00:00,8:00:00,9:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
Sydney,44341.81834,41484.4116,39745.68911,39068.80305,36649.91993,34740.46708,37021.91724,42954.51662,48928.28029,52792.04151,59472.57099,69543.09551,75786.62497,69029.37719,62013.21505,65490.40268,78854.67285,112979.1946,129365.2136,103365.484,74445.53346,58355.62669,50830.46183,46809.00973
Rio,22619.21687,19482.9097,17863.54197,15651.32156,12479.1542,11431.36953,13050.99145,14861.2537,17578.98774,20975.04131,25152.72999,31983.47883,37198.97226,34055.41045,29773.40591,28647.23292,30050.1891,35015.17636,46470.66284,58669.55592,63163.20085,54409.77976,40749.78596,29569.00338
Toronto,75833.68184,69611.23209,65174.5517,57904.38421,51150.78031,49687.11987,55827.48711,66662.39266,78425.33572,88759.94677,101594.1506,118951.3901,123791.2798,113244.4108,108471.3834,113523.2162,130860.8278,158414.089,167694.3704,150787.0288,126303.59,107036.6345,92084.2039,82674.79305
NYC,71597.30696,67136.79595,62025.74401,53709.22758,49180.79063,48431.57268,52117.68328,59405.37301,68679.13725,78406.62423,90839.01067,110282.0683,121192.0348,112907.3145,106391.6964,107550.2366,117882.9058,136856.3951,147323.4126,140636.2213,121309.0014,101722.3402,86146.72671,76926.12199
Seoul,26030.74635,24901.42306,24032.87101,23047.61113,20800.25133,19145.0541,22728.69137,25848.27313,28843.58644,31786.45821,37587.78251,48112.58235,50938.76364,42626.03485,38126.3368,38359.1884,42741.10443,50677.87427,58751.82217,51178.16595,38499.97225,33365.87388,30949.85826,28184.82442
Tokyo,100168.5062,91132.84246,86307.85459,84533.56376,85945.83667,87645.23948,89272.80407,98330.42402,110609.2422,119146.2698,140900.4032,181073.7291,194390.4477,163717.6506,139905.9236,134693.3465,145521.8642,168183.4826,188542.6178,181858.9634,155089.9181,136004.5838,120775.1865,110061.9232
Berlin,37242.38827,35763.31011,33973.58925,28610.77758,24505.39818,25869.8019,27876.78537,31409.94263,36166.61777,40788.87904,44842.9718,52210.03166,57225.88836,54816.43691,53480.4076,55598.44928,62620.77299,75206.83999,83511.2319,75815.20059,60671.18487,49067.12797,42576.64445,39047.04297
Paris,48768.72068,45671.07305,47355.00387,46455.17461,44317.99845,39742.1261,35045.20168,36891.55448,42996.82018,51246.17637,62215.68936,82349.44437,100348.6841,76167.9716,60376.71237,56251.69261,60750.40973,74725.27929,106677.849,142763.1064,127180.0075,88329.65115,63001.54533,53238.96152
London,46423.02954,46466.08196,46294.452,44650.15448,41057.42928,34454.85909,30969.62683,33575.08468,38542.77048,44666.87258,51001.91977,58422.09969,67032.82442,63122.96379,57244.29444,57603.41928,64874.18856,79357.56324,92009.31371,90436.64777,75124.2625,59250.99138,50864.8267,47324.77062
Jakarta,14504.27374,12500.59333,11257.22835,10472.39907,11188.95029,12958.43625,16290.53114,19543.71219,23399.58171,27809.82244,33275.88374,38151.20307,38099.01298,35527.34496,35255.58953,37536.73908,39729.09597,39862.31424,37225.37394,32302.74327,26687.28178,22764.87647,19890.2828,17247.11465
KualaLumpur,25484.25988,21181.64281,18593.202,16781.70103,14718.75364,13587.34747,17776.46243,24959.54021,32393.98842,37908.89425,44534.99783,55404.57538,64047.28554,61371.73131,54814.78934,52692.28158,57993.64754,70239.02741,82191.01611,69800.97963,58830.15012,46742.83637,36012.82303,29546.19113
