name,0:00:00,1:00:00,2:00:00,3:00:00,4:00:00,5:00:00,6:00:00,7:00:00,8:00:00,9:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
Sydney,426065.9238,402391.2813,386206.325,377447.6448,362599.9911,370807.9441,428462.0216,475494.819,482780.7155,472818.07,477147.2038,480724.9052,484567.1922,492846.3123,485748.1569,497375.5827,498558.4694,484215.5643,472956.3541,475553.0785,482489.2149,482817.6529,469250.6003,450794.9031
Rio,365172.0424,340694.1312,319195.0566,299592.8396,290684.5162,295965.5696,333319.2569,366007.7035,382500.4663,393786.1889,398119.4356,394620.1831,392451.5916,394446.6821,388939.141,388340.2815,388887.2455,388209.157,388573.8878,390458.1722,395252.8561,396962.0684,394535.2111,383051.9847
Toronto,380036.6703,366367.7736,348867.8487,332984.7041,318310.6641,304523.6276,321815.2338,353720.7325,375312.6061,382998.134,388574.2598,393172.7756,399624.1006,401444.5436,401568.815,401961.0929,403523.7757,404875.259,404527.7971,404560.6721,400352.0509,396775.4304,394307.4417,389152.1102
NYC,525847.1751,506095.3475,482697.8673,464573.3337,444435.3618,430121.7376,447809.511,482811.8305,505123.7033,512399.5212,522399.907,527718.3575,528166.0839,529811.787,534949.7013,537929.4939,539728.3985,544743.0321,551474.541,555919.2746,556415.5394,551346.0716,547772.1281,538731.9596
Seoul,359681.6841,371091.8186,371812.492,365369.4109,352450.1064,332053.5218,318471.6769,309266.0598,301311.2313,292405.6535,296284.3621,300726.6125,309625.902,304804.7133,305610.2818,307891.6902,308238.933,307192.6197,311601.894,312583.15,312624.4293,319537.2647,331046.7081,342916.8931
Tokyo,466004.8423,452547.8848,440291.143,425685.1022,405878.3611,386681.7881,386574.749,408239.7713,417681.6354,406046.4922,411667.4282,414456.4321,434452.2758,430643.9391,433628.1296,435209.2585,433232.2397,431445.4757,433040.7304,438102.4027,447057.7979,457872.4255,467911.9569,469288.7812
Berlin,428955.7158,401817.9848,384026.7954,378889.6724,390796.2331,414755.2154,461126.0843,494946.6081,495905.5437,488018.9476,485602.9262,489704.1774,496303.4403,497860.3358,493756.7247,496450.8559,505943.021,514571.4376,516553.6551,523243.8724,526433.0978,527520.2219,497930.2481,461856.1246
Paris,482644.8914,467197.4184,451237.4545,445364.2037,450775.8345,449260.9277,459643.1797,494175.6899,509570.9903,512887.5763,523420.4926,529347.0848,545829.7731,551347.2714,534242.3789,535165.4859,537243.442,542989.5686,546908.5351,521564.9739,506627.0895,521427.4255,521460.4648,503293.2218
London,483866.2552,458297.6186,442350.2386,435752.7445,413294.4102,390415.7964,413907.2084,453923.8113,475163.8616,477625.9312,489578.1845,500356.3376,514309.0464,524907.8897,514522.4917,510914.8799,512363.1349,516601.5821,522176.1827,522911.5068,525607.9626,527589.4236,521493.8877,506905.7301
Jakarta,240400.8394,218995.618,208927.687,208627.374,236027.5694,270812.0509,285399.9664,284197.4115,291279.5308,303908.5635,313806.7288,320842.6227,321644.5142,319538.4513,319506.414,321805.9362,321109.5004,319217.1246,322698.56,318024.187,310509.3544,299810.7765,283611.3344,263619.5041
KualaLumpur,284537.2824,258444.3698,240953.5164,227373.1108,220913.5855,224646.7722,251220.3983,293118.5484,328206.2241,348780.832,360968.4467,369904.5766,364539.7665,364748.9405,369061.5608,365110.7039,363790.7043,352986.8079,342934.2943,292946.5791,307318.7937,314269.9421,309307.0034,300643.7977
