name,0:00:00,1:00:00,2:00:00,3:00:00,4:00:00,5:00:00,6:00:00,7:00:00,8:00:00,9:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
Sydney,379514.2751,387695.0408,401530.2212,428762.9165,485772.8725,558976.6481,566789.7311,509110.6753,442287.0082,387184.5128,366245.2635,364706.8777,378504.8658,372781.0179,356880.7091,359695.2825,367723.3379,386950.337,405381.8116,425311.1434,434435.5415,437214.1793,416686.1873,384252.313
Rio,321279.1431,290877.3579,274715.5939,273520.9763,302251.5044,342214.8866,347821.4283,310322.6295,279897.647,265472.2916,265197.516,281092.2291,303270.6843,292199.4446,271673.6089,283448.4734,320750.7349,347448.9134,348609.3456,338739.4614,346439.2798,353381.3609,348549.6108,346907.0125
Toronto,441409.8233,407100.6037,379183.7941,374232.2308,390043.4097,444626.5451,490238.5512,482363.9425,441060.1377,410326.3503,397170.4623,397288.1322,419730.9938,419817.5778,418966.1425,446171.4623,462015.6805,458613.2421,467274.8629,501921.0538,546510.5503,586652.6104,582670.8922,507777.2237
NYC,402039.7548,368264.2861,337898.562,324321.9971,329066.6412,358031.7444,396353.4601,398107.6119,378463.5638,365673.0847,358674.8749,359265.9894,373167.1205,379162.7671,383978.1146,396288.1948,403726.0212,397342.6296,406747.9106,434207.1716,464389.876,485562.2307,489424.5994,454929.332
Seoul,232564.8681,240775.7226,244970.7961,250795.8748,259658.5348,275087.4376,269250.7105,248018.6715,222906.2401,197174.9329,192848.0572,192784.7503,206194.0272,192774.6579,187325.4487,186886.2584,187444.0787,188940.6972,192805.2411,199915.53,205509.1111,208973.6301,215411.9486,223654.8846
Tokyo,198798.8181,191968.9309,187978.4744,187377.0864,189590.7429,196751.5741,204259.2866,207251.126,199128.1756,180272.6236,178507.04,181432.1092,204769.8954,183323.1475,180044.9491,180040.7503,180545.4412,186174.0014,193775.0149,204973.8868,211601.8392,212782.2526,208035.578,205879.8365
Berlin,322166.169,305395.9951,307381.4286,314273.324,326073.0826,345174.4372,341859.1888,320331.2198,293133.9409,278789.374,263960.3997,262113.1594,275531.7414,277567.8984,284597.2969,308490.2587,324977.125,336206.0815,346125.0271,364392.7092,378025.9098,402689.0523,409724.7975,363439.7939
Paris,379743.1322,364359.4461,363231.8736,376181.7352,383137.9229,392349.1645,401761.4904,396399.3564,358695.6838,323708.1156,305163.3977,305216.1518,341257.9621,344301.8528,319645.3593,330666.9624,348906.417,361349.7716,373572.4385,383386.8965,406561.3163,465433.1744,496125.4165,434242.6001
London,384872.1854,383457.779,393596.9686,396103.5057,395235.2831,417808.7725,440290.9819,439441.6179,413318.3449,380261.8231,372065.1097,370718.8393,400185.7168,423140.0824,422558.1198,443390.1247,454213.2003,457925.4288,453939.5622,457396.0721,480066.9845,487734.6781,445528.6765,409505.3535
Jakarta,283113.7134,282640.3497,296643.8297,323988.6294,332802.1238,330101.5251,324781.2446,293995.3018,257694.0517,240048.5524,228827.8978,227562.3753,240758.8365,224011.0374,221209.5852,233446.5019,247777.3309,269636.7618,299034.8955,291872.4502,287895.6775,286807.6748,284599.1097,282317.9324
KualaLumpur,284532.3784,263794.1081,253120.5024,278559.9912,318954.1298,406063.4132,382366.1723,347664.7266,278823.7965,243932.6693,230391.5148,220888.1048,229119.4325,237446.6677,210399.9576,210841.7734,236390.0201,227926.4331,252784.2034,268582.7017,266781.4596,278139.7311,294867.7818,292796.9672
