name,0:00:00,1:00:00,2:00:00,3:00:00,4:00:00,5:00:00,6:00:00,7:00:00,8:00:00,9:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
Sydney,59233.87864,54971.92776,55504.16312,62061.67983,78847.16345,93006.46312,91744.1183,83538.58264,82087.05178,79533.72993,79926.73225,78829.74504,77389.01681,78441.62266,75573.02497,77117.14861,77155.398,76117.20542,75294.58288,75695.45329,76776.07864,75732.33054,71330.49219,65499.73358
Rio,29283.17114,26822.9091,25156.26439,25824.99796,30621.54979,34672.83353,33038.7798,32457.22296,32125.76287,31981.06613,32270.06189,31889.07415,30909.87365,30105.35417,29508.02394,29438.84119,29747.87544,30119.45037,29952.82277,30096.05642,30870.91736,31289.42156,31343.60524,30066.66288
Tornoto,53284.45513,48093.65682,46064.73843,48770.97426,60624.01065,75390.91868,76045.50079,70808.24951,68933.21715,67109.6998,66271.90804,65524.72299,65409.92838,65037.89377,64970.29075,64892.01956,64422.84507,64391.71665,64111.07926,63158.41865,62338.40909,61948.61792,60501.43457,57509.77573
NYC,63336.95985,57674.98506,54247.54731,59848.95924,79606.48581,95167.35097,90891.31105,81713.87169,77501.89921,75580.89547,73811.29174,71932.32089,70314.69977,69683.9162,70024.53222,69817.30846,70494.76596,70643.61144,70793.3041,68960.48245,68121.9178,68451.13936,68706.9265,66792.18779
Seoul,19252.32808,17368.48158,15245.71731,11494.33502,10412.91643,14242.60412,19671.42951,22236.90728,23677.28394,23406.57974,23228.96448,22859.07585,21953.15252,21792.01238,21419.18745,21277.13458,21134.86846,21163.18332,20602.53955,20088.05492,19795.9208,20847.70025,21670.96249,20943.32518
Tokyo,19575.08473,17176.71865,15633.58921,15291.27388,18792.81997,25010.8414,26617.39478,26923.04482,29916.73119,31212.95306,29754.11072,28637.44495,27658.74806,27336.23098,26880.49799,26348.97476,26103.59137,25463.99336,23970.50332,22551.27589,21894.89101,22086.94609,22130.6202,21419.36692
Berlin,55600.16342,49431.53202,46553.33011,55420.47957,73714.43409,83945.84286,76239.61206,72903.17734,70746.97708,70087.74622,69430.7089,67393.64634,65047.26593,63947.83776,62498.85182,61926.10292,62470.67894,63465.9538,64245.79252,63652.24408,63374.14287,64393.57094,62965.24085,60024.16375
Paris,41832.45942,41241.60506,38843.64847,39389.32016,48321.7481,58667.99199,55694.60178,49668.4461,46109.18554,44830.63154,44162.55037,43244.01498,43046.26526,42194.11127,40683.9568,39966.86697,40082.44673,40783.31954,41271.69218,42298.42121,42123.45419,43002.00344,42956.50472,42555.83637
London,76957.72643,73836.41272,74134.60303,85364.63872,113984.1066,132490.482,124819.1209,108925.0964,98917.20577,93166.27835,91472.7064,89550.91152,87924.83814,87427.78166,83788.56281,82529.9593,83251.53687,85880.38065,87246.48457,87564.14734,87233.37158,86303.88646,83383.25858,80415.66421
Jakarta,17841.72457,15492.8004,14979.17766,17540.4848,22267.05236,24307.23417,28466.84926,30991.88468,34425.11956,36818.07619,36754.25603,35842.04598,33605.89316,33947.38831,33715.71359,34132.69485,33535.70812,30156.62722,26843.98997,25117.88857,24040.5129,23603.13649,22406.39953,20386.19763
KualaLumpur,51245.2672,40590.85267,34716.4635,32254.36721,33796.12151,40829.54248,50717.7738,62369.66112,71269.98833,77428.949,79713.42275,79133.3362,76598.91802,77208.64237,74835.21059,72160.68523,73533.04281,74390.93558,71773.02983,59687.97283,60604.06519,63783.17878,62563.82549,57168.28592
